Name,Vmag,Depth (Em),Depth (Rf),Noise,Albedo,Eq Temp,Mass
-,-,ppm,ppm,ppm,-,K,M_jup
Kepler-011f,13.86,0.0,0.0,907.8,0.90,375,0.01
Kepler-289b,14.11,0.0,0.0,1018.6,0.90,422,0.02
Kepler-064,13.81,0.0,0.0,887.2,0.90,337,0.00
EPIC_201702477,14.57,0.0,0.1,1258.9,0.90,193,66.90
Kepler-020f,12.65,0.0,0.0,520.0,0.90,466,0.00
Kepler-296d,16.71,0.0,0.1,3372.9,0.90,243,-1.00
KOI-1599.01,15.39,0.0,0.1,1836.6,0.90,509,0.01
Kepler-1649,17.53,0.0,0.2,4920.4,0.90,231,-1.00
Kepler-090d,13.89,0.0,0.0,920.5,0.90,361,0.00
Kepler-038,14.08,0.0,0.0,1004.6,0.90,353,0.00
TRAPPIST-1f,18.80,0.0,0.3,8830.9,0.90,144,0.00
Kepler-079e,14.03,0.0,0.0,981.8,0.90,366,0.01
Kepler-186e,15.23,0.0,0.1,1706.1,0.90,257,-1.00
Kepler-035,15.93,0.0,0.1,2355.1,0.90,236,0.13
Kepler-453,13.70,0.0,0.0,843.3,0.90,183,0.00
TRAPPIST-1g,18.80,0.0,0.2,8830.9,0.90,130,0.00
Kepler-289c,14.11,0.0,0.0,1018.6,0.90,336,0.01
Kepler-413,15.83,0.0,0.1,2249.1,0.90,224,0.21
Kepler-087c,14.78,0.0,0.0,1386.8,0.90,296,0.02
Kepler-037b,10.03,0.0,0.0,155.6,0.90,484,0.00
Kepler-011g,13.86,0.0,0.0,907.8,0.90,276,0.00
Kepler-047b,15.34,0.0,0.0,1794.7,0.90,328,0.00
Kepler-090e,13.89,0.0,0.0,920.5,0.90,315,0.00
Kepler-437b,14.73,0.0,0.0,1355.2,0.90,226,-1.00
Kepler-034,15.04,0.0,0.0,1563.2,0.90,197,0.22
Kepler-090f,13.89,0.0,0.0,920.5,0.90,295,0.00
Kepler-062c,13.89,0.0,0.0,920.5,0.90,417,0.00
Kepler-440b,15.71,0.0,0.0,2128.2,0.90,203,-1.00
Kepler-438b,15.16,0.0,0.0,1652.0,0.90,214,-1.00
Kepler-167e,14.29,0.0,0.0,1106.6,0.90,98,-1.00
Kepler-1654,13.56,0.0,0.0,790.7,0.90,138,0.00
Kepler-296e,16.71,0.0,0.0,3372.9,0.90,203,-1.00
Kepler-436b,16.24,0.0,0.0,2716.5,0.90,215,-1.00
Kepler-022,11.81,0.0,0.0,353.2,0.90,191,0.02
Kepler-1647,13.70,0.0,0.0,843.3,0.90,162,1.52
TRAPPIST-1h,18.80,0.0,0.1,8830.9,0.90,113,0.00
