System,SNR,Eclipse Depth,Kmag,Teq,Period,Planet Mass
-,-,ppm,-,K,d,Mjup
WASP-019,51.4,7259,10.48,2471.8,0.79,1.14
WASP-122,49.6,4360,9.42,2333.3,1.71,1.28
HAT-P-32,49.3,5775,9.99,2143.2,2.15,0.80
EPIC_249622103d,48.4,34,-1.00,627.1,24.37,-1.00
KELT-04,47.8,3067,8.69,2169.0,2.99,0.90
WASP-095,47.6,2828,8.56,1923.2,2.19,1.13
WASP-052,47.5,5462,10.09,1563.9,1.75,0.43
CoRoT-02,47.1,6202,10.31,1810.1,1.74,3.57
HAT-P-22,46.7,1942,7.84,1538.0,3.21,2.19
TrES-3,43.5,6598,10.61,1949.3,1.31,1.90
WASP-012,43.2,5551,10.19,3047.0,1.09,1.47
KELT-08,41.6,3276,9.18,1994.8,3.24,0.87
MASCARA-1,40.4,1748,7.74,3027.8,2.15,3.70
Qatar-2,39.7,5679,10.62,1528.8,1.34,2.47
WASP-034,39.3,2585,8.79,1378.3,4.32,0.59
KELT-11,38.9,735,6.12,2025.9,4.74,0.17
WASP-004,38.4,6179,10.75,1990.9,1.34,1.25
WASP-014,37.8,2373,8.62,2212.1,2.24,7.59
Qatar-6,37.7,2928,9.23,1197.1,3.51,0.67
WASP-094,37.4,2602,8.87,1920.6,3.95,0.45
WASP-097,37.1,2716,9.03,1842.3,2.07,1.32
WASP-003,36.9,3245,9.36,2372.2,1.85,1.77
Qatar-1,36.6,4849,10.41,1652.6,1.42,1.29
KELT-02,36.1,1246,7.35,2037.6,4.11,1.52
WASP-002,35.4,3330,9.63,1529.9,2.15,0.88
HAT-P-30,35.1,2800,9.15,1957.6,2.81,0.71
KELT-03,35.1,2227,8.66,2161.4,2.70,1.48
GJ_0436,35.0,541,6.07,753.1,2.64,0.08
KELT-17,35.0,2301,8.65,2482.0,3.08,1.31
WASP-050,35.0,3920,9.97,1714.7,1.96,1.44
WASP-103,34.4,5731,10.77,2961.2,0.93,1.47
WASP-127,33.1,2033,8.64,1705.1,4.18,0.18
EPIC_249622103c,32.7,23,-1.00,947.7,7.06,-1.00
WASP-101,32.6,2507,9.07,1847.7,3.59,0.50
HAT-P-01,32.5,2234,8.86,1574.6,4.46,0.53
WASP-035,31.9,3001,9.53,1750.0,3.16,0.72
WASP-041,31.4,3080,9.68,1478.7,3.05,0.98
WASP-104,31.3,3356,9.88,1795.8,1.75,1.27
WASP-079,31.1,2400,9.06,2041.9,3.66,0.86
WASP-062,31.1,2238,8.94,1697.8,4.41,0.57
HAT-P-36,31.0,4670,10.60,2128.3,1.33,1.85
KELT-19,30.9,2619,9.20,2305.7,4.61,0.00
WASP-007,30.5,1731,8.40,1820.0,4.96,0.98
TrES-2,30.2,3253,9.85,1744.3,2.47,1.21
WASP-107,30.0,1693,8.64,875.8,5.72,0.12
WASP-082,29.9,2002,8.76,2624.7,2.71,1.25
WASP-010,29.7,3189,9.98,1150.2,3.09,3.14
KELT-10,29.6,2532,9.34,1637.1,4.17,0.68
WASP-054,29.4,2221,9.04,2186.3,3.69,0.64
TrES-1,28.7,2950,9.82,1364.7,3.03,0.76
EPIC_229426032,28.6,3726,10.22,2261.9,2.18,1.36
XO-1,28.3,2622,9.53,1439.6,3.94,0.92
HAT-P-13,28.3,2013,8.97,2052.3,2.92,0.91
HAT-P-08,28.2,2039,8.95,2061.3,3.08,1.27
XO-3,28.2,1909,8.79,2056.7,3.19,11.83
WASP-123,28.2,2410,9.36,1807.5,2.98,0.90
KELT-16,27.8,4382,10.64,2917.5,0.97,2.75
HAT-P-41,27.6,2879,9.73,2303.7,2.69,0.80
WASP-135,27.6,5103,11.04,2047.7,1.40,1.90
WASP-017,27.5,3620,10.22,2085.9,3.73,0.48
XO-6,27.5,2329,9.25,1875.6,3.77,1.90
HD_149026,27.3,738,6.82,2107.4,2.88,0.37
WASP-049,27.2,2766,9.75,1663.5,2.78,0.40
WASP-016,27.1,2565,9.59,1652.6,3.12,0.83
K2-029,27.0,3127,10.06,1387.8,3.26,0.73
HAT-P-67,26.9,1915,8.90,2298.7,4.81,0.00
HAT-P-57,26.9,2530,9.43,2614.7,2.46,0.00
WASP-011,26.8,2249,9.42,1180.6,3.72,0.49
WASP-087,26.5,2613,9.60,2749.3,1.68,2.18
XO-2,26.5,2170,9.31,1606.7,2.62,0.60
WASP-111,26.5,1975,9.00,2523.7,2.31,1.83
HAT-P-02,26.4,1030,7.60,1801.2,5.63,8.74
WASP-008,26.4,1248,8.09,1103.2,8.16,2.25
WASP-091,26.1,2501,9.71,1360.5,2.80,1.34
WASP-006,25.9,3379,10.32,1408.4,3.36,0.48
WASP-093,25.9,3005,9.94,2311.8,2.73,1.47
NGTS-1,25.4,6228,11.94,941.7,2.65,0.81
WASP-013,25.3,1961,9.12,1884.8,4.35,0.51
HAT-P-56,24.9,2733,9.83,2188.1,2.79,2.18
WASP-108,24.8,2627,9.80,1903.8,2.68,0.89
HAT-P-16,24.7,2347,9.55,1864.8,2.78,4.19
KELT-18,24.7,2047,9.21,2477.4,2.87,1.18
HAT-P-23,24.2,4027,10.79,2321.6,1.21,2.07
WASP-167,23.8,2566,9.76,2771.5,2.02,0.00
KELT-01,23.8,2183,9.44,2883.0,1.22,27.38
