Name		Vmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
HAT-P-30		10.36		1		0.0		2.81		0.71		2.28		1957
HAT-P-29		11.90		0		0.0		5.72		0.78		2.76		1495
HAT-P-28		13.03		0		0.0		3.26		0.63		2.36		1642
HAT-P-27		12.16		0		0.0		3.04		0.66		2.72		1439
HAT-P-26		11.74		0		0.0		4.24		0.06		1.52		1165
HAT-P-25		13.19		0		0.0		3.65		0.57		2.39		1401
HAT-P-24		11.75		0		0.0		3.35		0.68		2.39		1930
HAT-P-23		12.43		16		0.0		1.21		2.07		3.53		2321
HAT-P-22		9.73		0		0.0		3.21		2.19		3.88		1538
HAT-P-21		11.69		0		0.0		4.12		4.06		4.56		1516
HAT-P-20		11.34		0		0.0		2.88		7.22		5.14		1146
HAT-P-19		12.90		0		0.0		4.01		0.29		1.73		1200
HAT-P-18		12.76		0		0.0		5.51		0.20		1.69		1000
HAT-P-17		10.54		0		0.0		10.34		0.53		2.56		927
HAT-P-16		10.80		0		0.0		2.78		4.19		4.30		1864
HAT-P-15		12.16		0		0.0		10.86		1.95		3.74		1069
HAT-P-14		10.00		0		0.0		4.63		2.27		3.63		1932
HAT-P-13		10.62		2		0.0		2.92		0.91		2.32		2052
HAT-P-12		12.80		0		0.0		3.21		0.20		1.77		1136
HAT-P-11		9.47		0		0.0		4.89		0.08		2.58		996
HAT-P-09		12.30		0		0.0		3.92		0.78		2.32		1832
HAT-P-08		10.30		2		0.0		3.08		1.27		2.90		2061
HAT-P-07		10.46		19		0.0		2.21		1.87		2.99		2636
HAT-P-06		10.54		1		0.0		3.85		1.06		2.61		2027
HAT-P-05		12.00		0		0.0		2.79		1.06		2.82		1804
HAT-P-04		11.00		2		0.0		3.06		0.68		2.24		2072
HAT-P-03		11.86		0		0.0		2.90		0.59		2.88		1393
HAT-P-02		8.71		0		0.0		5.63		8.74		5.03		1801
HAT-P-01		10.40		0		0.0		4.46		0.53		2.01		1574
GJ_3470		12.27		0		0.0		3.34		0.04		2.19		769
GJ_1214		14.67		0		0.0		1.58		0.02		2.02		679
GJ_1132		13.49		0		0.0		1.63		0.01		2.54		696
GJ_0436		10.68		0		0.0		2.64		0.08		2.69		753
EPIC_246911830		12.69		9		0.0		2.63		1.42		2.68		2361
EPIC_246067459		13.75		0		0.0		3.21		0.86		2.53		1898
EPIC_220501947		13.95		0		0.0		4.03		0.34		2.23		994
EPIC_219388192		12.54		0		0.0		5.29		36.84		6.95		1384
EPIC_211945201		10.15		0		0.0		19.49		0.09		1.94		1055
EPIC_211442297		13.34		0		0.0		20.27		0.84		2.82		807
EPIC_211418729		14.57		0		0.0		11.39		1.85		3.94		858
EPIC_201498078		10.61		0		0.0		11.63		0.18		1.84		1268
EPIC_201702477		14.57		0		0.0		40.74		66.90		7.97		344
CoRoT-33		14.89		0		0.0		5.82		59.00		7.10		1207
CoRoT-32		14.47		0		0.0		6.72		0.15		2.44		1142
CoRoT-29		15.56		0		0.0		2.85		0.85		3.26		1449
CoRoT-28		13.78		0		0.0		5.21		0.48		2.58		1622
CoRoT-27		15.54		0		0.0		3.58		10.39		5.54		1612
CoRoT-26		15.76		0		0.0		4.21		0.52		2.09		1870
CoRoT-25		14.97		0		0.0		4.86		0.37		2.06		1572
CoRoT-24c		13.20		0		0.0		11.76		0.09		2.42		841
CoRoT-23		15.63		1		0.0		3.63		3.06		4.00		2035
CoRoT-21		16.00		6		0.0		2.73		2.26		3.55		2431
CoRoT-20		14.66		0		0.0		9.24		4.30		4.37		1301
CoRoT-19		14.01		0		0.0		3.90		1.09		2.95		1938
CoRoT-18		15.00		1		0.0		1.90		3.27		3.95		1773
CoRoT-17		15.46		0		0.0		3.77		2.46		4.10		1910
CoRoT-16		15.63		0		0.0		5.35		0.54		2.27		1422
CoRoT-15		15.50		0		0.0		3.06		64.90		7.30		1984
CoRoT-14		16.03		7		0.0		1.51		7.67		5.21		2303
CoRoT-13		15.04		0		0.0		4.04		1.31		3.03		1704
CoRoT-12		15.52		0		0.0		2.83		0.89		2.49		1677
CoRoT-11		12.80		2		0.0		2.99		2.34		3.35		2033
CoRoT-10		15.22		0		0.0		13.24		2.78		4.35		770
CoRoT-09		13.69		0		0.0		95.27		0.84		2.91		497
CoRoT-08		14.76		0		0.0		6.21		0.22		2.36		1097
CoRoT-07		11.72		0		0.0		0.85		0.02		3.11		2093
CoRoT-06		13.91		0		0.0		8.89		2.96		3.96		1220
CoRoT-05		14.00		0		0.0		4.04		0.47		2.12		1604
CoRoT-04		14.00		0		0.0		9.20		0.73		2.60		1259
CoRoT-03		13.29		0		0.0		4.26		21.96		6.23		1963
CoRoT-02		12.57		2		0.0		1.74		3.57		3.73		1810
CoRoT-01		13.60		18		0.0		1.51		1.03		2.36		2279
55_Cnc_e		5.95		0		0.0		0.74		0.03		3.10		2318
