Name		Hmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
Kepler-419		11.86		1		0.0		69.80		2.77		4.00		811
Kepler-413		13.41		0		0.0		66.25		0.21		3.59		398
Kepler-289d		12.51		0		0.0		125.85		0.41		2.26		481
Kepler-289c		12.51		0		0.0		66.06		0.01		1.73		598
Kepler-289b		12.51		0		0.0		34.55		0.02		2.74		750
Kepler-138d		9.51		0		0.0		23.09		0.00		1.41		477
Kepler-138c		9.51		0		0.0		13.78		0.02		2.91		567
Kepler-138b		9.51		0		0.0		10.31		0.00		1.34		624
Kepler-117c		13.01		3		0.0		50.79		1.84		3.63		844
Kepler-117b		13.01		14		0.0		18.80		0.09		1.51		1176
Kepler-089e		10.93		0		0.0		54.32		0.11		2.08		792
Kepler-089b		10.93		6		0.0		3.74		0.03		3.55		1932
Kepler-087c		12.98		0		0.0		191.23		0.02		0.51		527
Kepler-087b		12.98		0		0.0		114.74		1.02		2.86		625
Kepler-080e		12.25		1		0.0		4.64		0.01		2.76		967
Kepler-080d		12.25		3		0.0		3.07		0.02		3.35		1111
Kepler-080c		12.25		0		0.0		9.52		0.02		2.18		762
Kepler-080b		12.25		1		0.0		7.05		0.02		2.26		842
Kepler-079e		12.61		0		0.0		81.07		0.01		1.20		650
Kepler-079d		12.61		0		0.0		52.09		0.02		0.14		754
Kepler-079c		12.61		1		0.0		27.40		0.02		1.43		934
Kepler-079b		12.61		4		0.0		13.48		0.03		2.17		1181
Kepler-068c		8.59		0		0.0		9.61		0.01		3.94		1231
Kepler-051d		13.20		0		0.0		130.18		0.02		-0.23		454
Kepler-051c		13.20		0		0.0		85.31		0.01		-0.72		522
Kepler-051b		13.20		0		0.0		45.16		0.01		-0.90		646
Kepler-046b		13.35		0		0.0		33.60		0.89		3.51		645
Kepler-039		12.92		21		0.0		21.09		19.10		5.95		1011
Kepler-036c		10.79		3		0.0		16.24		0.02		1.74		1207
Kepler-036b		10.79		0		0.0		13.84		0.01		2.95		1273
Kepler-035		13.88		0		0.0		131.46		0.13		1.78		420
Kepler-034		13.24		0		0.0		288.82		0.22		2.23		350
Kepler-030d		13.58		0		0.0		142.64		0.07		1.10		421
Kepler-030c		13.58		0		0.0		60.33		1.69		3.60		561
Kepler-030b		13.58		0		0.0		29.22		0.03		1.85		715
Kepler-029c		13.66		1		0.0		13.29		0.01		1.38		952
Kepler-029b		13.66		3		0.0		10.34		0.01		1.37		1035
Kepler-026c		12.63		0		0.0		17.25		0.02		2.10		490
Kepler-026b		12.63		0		0.0		12.28		0.02		1.87		549
Kepler-022		10.15		0		0.0		289.86		0.02		2.48		340
Kepler-020d		10.87		0		0.0		77.61		0.03		2.58		523
Kepler-020c		10.87		2		0.0		10.85		0.04		2.60		1004
Kepler-020b		10.87		7		0.0		3.70		0.03		3.30		1438
Kepler-018d		11.76		7		0.0		14.86		0.05		1.19		949
Kepler-018b		11.76		8		0.0		3.50		0.02		2.85		1537
Kepler-016		9.00		0		0.0		221.78		0.33		2.68		245
Kepler-011f		12.18		0		0.0		46.69		0.01		1.16		666
Kepler-011e		12.18		0		0.0		32.00		0.03		1.50		757
Kepler-011d		12.18		0		0.0		22.69		0.02		2.00		836
Kepler-011c		12.18		2		0.0		13.03		0.01		1.24		1024
Kepler-011b		12.18		1		0.0		10.30		0.01		1.75		1105
Kepler-010c		9.50		0		0.0		45.29		0.02		2.57		688
Kepler-009c		12.34		0		0.0		38.91		0.10		1.53		683
Kepler-009b		12.34		5		0.0		19.24		0.14		1.86		865
K2-139		9.66		1		0.0		28.38		0.39		2.69		672
K2-135d		7.19		0		0.0		6.20		0.01		1.68		772
K2-135c		7.19		0		0.0		3.65		0.00		2.19		922
K2-110		9.61		0		0.0		13.86		0.05		3.19		759
K2-106c		10.34		1		0.0		13.34		0.02		2.30		939
K2-096c		7.07		0		0.0		29.84		0.03		2.36		660
K2-056		9.37		0		0.0		41.69		0.05		3.46		649
K2-038c		9.47		2		0.0		10.56		0.03		2.80		1115
K2-038b		9.47		4		0.0		4.02		0.04		3.90		1539
K2-032d		9.82		0		0.0		31.72		0.03		2.14		644
K2-024c		9.18		0		0.0		42.34		0.05		0.99		699
K2-024b		9.18		2		0.0		20.89		0.06		1.81		885
K2-019c		11.16		3		0.0		11.91		0.08		2.52		913
K2-018b		8.90		0		0.0		32.94		0.03		2.75		336
K2-003c		8.56		0		0.0		24.65		0.01		2.28		453
K2-003b		8.56		0		0.0		10.05		0.02		2.52		611
HD_080606		7.32		0		0.0		111.44		4.11		4.62		483
GJ_1132		8.32		1		0.0		1.63		0.01		2.54		696
EPIC_211442297		11.72		10		0.0		20.27		0.84		2.82		807
EPIC_211418729		12.30		15		0.0		11.39		1.85		3.94		858
EPIC_201702477		12.77		0		0.0		40.74		66.90		7.97		344
CoRoT-24c		12.92		2		0.0		11.76		0.09		2.42		841
CoRoT-10		11.78		8		0.0		13.24		2.78		4.35		770
CoRoT-09		11.69		0		0.0		95.27		0.84		2.91		497
