Name		Vmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
HATS-33		11.91		194		0.5		2.55		1.19		3.02		1700
HATS-25		13.10		309		0.5		4.30		0.61		2.30		1518
HATS-23		13.90		458		0.5		2.16		1.47		2.40		1970
HATS-13		13.89		472		0.5		3.04		0.54		2.26		1481
HATS-08		14.03		491		0.5		3.58		0.14		1.55		1571
HAT-P-56		10.91		118		0.5		2.79		2.18		3.27		2188
HAT-P-55		13.21		331		0.5		3.58		0.58		2.38		1561
HAT-P-45		12.79		280		0.5		3.13		0.89		2.43		1961
HAT-P-38		12.56		242		0.5		4.64		0.27		2.32		1284
HAT-P-28		13.03		293		0.5		3.26		0.63		2.40		1642
HAT-P-25		13.19		353		0.5		3.65		0.57		2.34		1431
HAT-P-22		9.73		63		0.5		3.21		2.15		3.87		1524
HAT-P-07		10.46		93		0.5		2.21		1.87		3.04		2637
HAT-P-05		12.00		197		0.5		2.79		1.06		2.86		1805
XO-4		10.67		87		0.4		4.12		1.61		3.18		1953
WASP-136		9.98		56		0.4		5.21		1.51		3.02		2073
WASP-132		12.40		203		0.4		7.13		0.41		2.64		905
WASP-087		10.74		96		0.4		1.68		2.18		3.38		2749
WASP-057		13.04		254		0.4		2.84		0.64		2.72		1593
WASP-043		12.37		161		0.4		0.81		2.03		3.89		1714
WASP-023		12.68		203		0.4		2.94		0.92		3.04		1344
Qatar-1		12.84		226		0.4		1.42		1.29		3.25		1653
Kepler-008		13.65		302		0.4		3.52		0.59		2.08		1978
K2-032b		12.31		194		0.4		8.99		0.05		1.86		981
K2-030		13.53		329		0.4		4.10		0.62		2.43		1391
K2-024b		11.28		101		0.4		20.89		0.06		1.83		923
HATS-53		14.14		397		0.4		3.85		0.59		2.15		1558
HATS-50		14.03		366		0.4		3.82		0.39		2.07		1616
HATS-31		13.11		238		0.4		3.38		0.88		2.14		2170
HATS-28		13.93		339		0.4		3.18		0.67		2.50		1490
HATS-06		15.16		629		0.4		3.33		0.32		2.12		858
HATS-03		12.44		187		0.4		3.55		1.07		2.68		1960
HAT-P-66		12.99		250		0.4		2.97		0.78		2.08		2260
HAT-P-43		13.36		322		0.4		3.33		0.66		2.35		1616
HAT-P-36		12.26		179		0.4		1.33		1.85		3.34		2128
HAT-P-29		11.90		133		0.4		5.72		0.78		2.80		1496
GJ_9827d		10.51		79		0.4		6.20		0.01		2.18		798
CoRoT-05		14.00		390		0.4		4.04		0.47		2.16		1604
XO-5		12.13		108		0.3		4.19		1.19		3.16		1442
WASP-157		12.91		194		0.3		3.95		0.57		2.57		1551
WASP-112		13.33		241		0.3		3.04		0.88		2.78		1648
WASP-091		11.99		114		0.3		2.80		1.34		3.49		1360
WASP-072		10.87		71		0.3		2.22		1.46		3.16		2620
WASP-071		10.56		51		0.3		2.90		2.24		3.31		2479
WASP-065		11.90		117		0.3		2.31		1.55		3.48		1766
WASP-060		12.18		114		0.3		4.30		0.51		2.89		1568
WASP-047b		11.93		110		0.3		4.16		1.14		3.16		1508
WASP-046		12.93		171		0.3		1.43		1.91		3.58		1947
WASP-045		11.98		123		0.3		3.13		1.00		3.27		1392
WASP-044		12.88		183		0.3		2.42		0.87		3.11		1552
WASP-038		9.45		31		0.3		6.87		2.69		4.07		1484
WASP-036		12.70		160		0.3		1.54		2.36		3.55		2062
WASP-005		12.14		137		0.3		1.63		1.59		3.40		2085
NGTS-1		15.52		635		0.3		2.65		0.81		2.48		942
Kepler-427		14.31		345		0.3		10.29		0.29		1.60		1281
Kepler-426		14.99		533		0.3		3.22		0.34		2.00		1548
Kepler-425		14.95		494		0.3		3.80		0.25		1.91		1277
Kepler-423		14.42		396		0.3		2.68		0.59		2.39		1642
Kepler-041		14.47		374		0.3		1.86		0.56		2.17		2127
Kepler-006		13.46		209		0.3		3.23		0.63		2.49		1726
KELT-16		11.90		124		0.3		0.97		2.75		3.57		2918
K2-107		12.92		180		0.3		3.31		0.84		2.35		2106
K2-034		11.45		86		0.3		3.00		1.65		3.36		1988
HATS-45		13.31		242		0.3		4.19		0.70		2.40		1807
HATS-44		14.43		324		0.3		2.74		0.56		2.55		1404
HATS-24		12.83		185		0.3		1.35		2.44		3.35		2469
HATS-20		13.77		224		0.3		3.80		0.27		2.46		1363
HATS-11		14.02		282		0.3		3.62		0.83		2.28		1944
HATS-10		13.11		181		0.3		3.31		0.53		2.68		1673
HATS-07		13.34		220		0.3		3.19		0.12		2.28		1289
HATS-02		13.56		210		0.3		1.35		1.34		3.24		1873
HATS-01		12.05		137		0.3		3.45		1.85		3.35		1628
HAT-P-54		13.51		216		0.3		3.80		0.76		3.10		975
HAT-P-50		11.76		92		0.3		3.12		1.35		3.05		2205
HAT-P-42		12.17		111		0.3		4.64		1.04		2.81		1699
HAT-P-37		13.23		211		0.3		2.80		1.17		3.08		1517
HAT-P-35		12.46		158		0.3		3.65		1.05		2.73		1902
HAT-P-23		12.43		132		0.3		1.21		2.07		3.58		2322
HAT-P-14		10.00		46		0.3		4.63		2.27		3.68		1932
EPIC_228735255		12.62		134		0.3		6.57		1.02		3.09		1325
EPIC_218916923		11.65		96		0.3		28.38		0.38		2.71		661
CoRoT-02		12.57		148		0.3		1.74		3.57		3.77		1810
WTS-2		15.90		558		0.2		1.02		1.12		2.75		1826
WASP-138		11.81		83		0.2		3.63		1.22		3.28		1896
WASP-133		12.88		119		0.2		2.18		1.16		3.02		2112
WASP-130		11.11		47		0.2		11.55		1.23		3.70		989
WASP-129		12.12		97		0.2		5.75		1.00		3.40		1281
WASP-114		12.74		122		0.2		1.55		1.77		3.24		2413
WASP-099		9.48		20		0.2		5.75		2.78		4.09		1748
WASP-073		10.48		31		0.2		4.09		1.88		3.59		2119
WASP-066		11.61		61		0.2		4.09		2.32		3.44		2143
WASP-053		12.19		87		0.2		3.31		2.13		3.87		1252
WASP-037		12.72		106		0.2		3.58		1.80		3.55		1616
WASP-032		11.56		52		0.2		2.72		3.60		4.21		1857
WASP-018		9.27		23		0.2		0.94		10.52		5.24		2869
WASP-014		9.75		24		0.2		2.24		7.59		4.85		2212
TrES-5		13.72		170		0.2		1.48		1.79		3.48		1767
Qatar-2		13.49		132		0.2		1.34		2.47		3.94		1529
OGLE-TR-010		15.80		500		0.2		3.10		0.68		1.79		2021
Kepler-435		13.77		141		0.2		8.60		0.84		1.71		2033
Kepler-093b		9.93		22		0.2		4.73		0.01		2.93		1348
Kepler-089d		12.33		107		0.2		22.34		0.33		2.15		1065
Kepler-077		14.10		238		0.2		3.58		0.43		2.49		1485
Kepler-068b		10.11		34		0.2		5.40		0.02		2.45		1491
Kepler-045		16.63		491		0.2		2.46		0.50		2.56		936
Kepler-015		13.91		223		0.2		4.94		0.70		2.39		1488
Kepler-013		9.95		31		0.2		1.76		6.00		4.37		2595
K2-141b		11.49		65		0.2		0.28		0.02		3.13		2573
HD_106315b		8.95		15		0.2		9.55		0.04		3.08		1352
HD_017156		8.17		13		0.2		21.22		3.26		4.31		1051
HATS-52		13.67		183		0.2		1.37		2.24		3.42		2231
HATS-32		14.38		229		0.2		2.81		0.92		2.73		1707
HATS-18		14.07		217		0.2		0.84		1.98		3.36		2444
HATS-14		13.79		139		0.2		2.77		1.07		3.25		1516
HATS-09		13.28		144		0.2		1.92		0.82		2.73		2161
HAT-P-53		13.73		170		0.2		1.96		1.48		3.10		2113
HAT-P-52		14.07		174		0.2		2.75		0.82		3.04		1447
HAT-P-34		10.16		29		0.2		5.45		3.33		4.10		1759
HAT-P-16		10.80		42		0.2		2.78		4.19		4.34		1865
GJ_9827c		10.51		38		0.2		3.65		0.01		2.64		954
GJ_9827b		10.51		36		0.2		1.21		0.03		3.31		1383
EPIC_246067459		13.75		146		0.2		3.21		0.86		2.58		1898
EPIC_211442297		13.34		130		0.2		20.27		0.84		2.87		807
CoRoT-25		14.97		289		0.2		4.86		0.37		2.11		1572
CoRoT-12		15.52		325		0.2		2.83		0.89		2.54		1677
CoRoT-11		12.80		102		0.2		2.99		2.34		3.40		2033
CoRoT-04		14.00		156		0.2		9.20		0.73		2.65		1260
