Name		Hmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
Kepler-127 b		10.30		10		0.1		14.44		0.01		2.75		1199
Kepler-911 b		10.55		14		0.1		20.31		0.02		2.31		1234
Kepler-334 c		11.45		14		0.1		12.76		0.01		2.77		1057
Kepler-154 c		13.09		31		0.1		62.30		0.03		2.28		589
Kepler-341 b		13.11		23		0.1		5.20		0.01		2.51		1440
Kepler-312 b		11.66		19		0.1		1.77		0.01		2.63		2509
Kepler-178 d		12.97		30		0.1		96.68		0.05		2.35		524
Kepler-1310 b		12.52		50		0.1		0.68		0.01		2.78		2466
Kepler-1460 b		13.45		32		0.1		29.96		0.01		2.51		507
Kepler-1050 b		11.75		15		0.1		15.38		0.01		2.72		1038
Kepler-1100 b		12.49		19		0.1		6.42		0.01		2.62		1545
Kepler-1017 b		12.47		42		0.1		7.23		0.01		2.49		1095
Kepler-1254 d		13.29		29		0.1		5.73		0.01		2.66		1031
Kepler-371 b		12.36		18		0.1		34.76		0.01		2.54		709
Kepler-164 c		13.01		43		0.1		10.95		0.02		2.29		1165
Kepler-241 c		13.06		48		0.1		36.07		0.02		2.31		477
Kepler-961 b		12.56		46		0.1		16.88		0.02		2.32		852
Kepler-271 c		11.82		26		0.1		7.41		0.00		2.25		1090
Kepler-155 c		11.89		36		0.1		52.66		0.02		2.40		388
Kepler-748 b		13.69		46		0.1		7.41		0.02		2.32		1294
Kepler-1326 b		11.73		22		0.1		42.35		0.06		2.37		981
Kepler-525 b		11.88		32		0.1		18.68		0.02		2.30		931
Kepler-1176 b		13.40		33		0.1		24.17		0.02		2.34		836
Kepler-299 c		13.51		54		0.1		6.89		0.02		2.30		1230
Kepler-401 c		12.06		15		0.1		47.32		0.02		2.43		801
Kepler-347 b		13.08		30		0.1		12.80		0.01		2.50		1070
Kepler-246 b		13.15		65		0.1		4.60		0.02		2.37		1170
Kepler-1212 b		13.54		28		0.1		12.94		0.02		2.43		1115
Kepler-360 b		13.30		30		0.1		3.29		0.01		2.68		1716
Kepler-1072 b		12.60		25		0.1		1.57		0.01		2.73		2438
Kepler-917 b		14.08		64		0.1		2.97		0.01		2.53		1398
Kepler-431 d		10.67		16		0.1		11.92		0.00		2.44		1113
Kepler-223 d		13.73		51		0.1		14.79		0.03		2.28		982
Kepler-172 b		12.88		54		0.1		2.94		0.02		2.36		1647
Kepler-313 c		12.55		17		0.1		32.27		0.02		2.31		914
Kepler-575 b		13.15		48		0.1		9.38		0.02		2.35		1088
Kepler-1343 b		14.10		48		0.1		3.35		0.01		2.52		1535
Kepler-85 b		13.19		23		0.1		8.31		0.01		2.50		1257
Kepler-1187 b		13.15		36		0.1		18.87		0.02		2.31		951
Kepler-1598 b		12.44		24		0.1		4.34		0.00		2.18		1541
Kepler-1020 b		12.21		24		0.1		96.92		0.02		2.38		427
Kepler-1445 b		11.18		15		0.1		10.60		0.00		2.19		1262
Kepler-1604 b		12.92		57		0.1		0.68		0.01		2.76		2091
Kepler-1315 b		12.81		53		0.1		0.84		0.01		2.73		1896
Kepler-438 b		11.45		24		0.1		35.23		0.00		2.43		374
Kepler-849 b		11.59		20		0.1		394.62		0.15		2.26		419
Kepler-1573 b		13.68		29		0.1		2.62		0.01		2.53		1725
Kepler-1307 b		13.88		34		0.1		18.02		0.02		2.33		947
Kepler-270 b		12.61		18		0.1		11.48		0.01		2.48		1333
Kepler-825 b		12.73		21		0.1		3.77		0.01		2.86		1627
Kepler-798 b		12.87		28		0.1		13.72		0.02		2.35		1176
Kepler-356 c		11.74		16		0.1		13.12		0.01		2.58		1232
Kepler-878 b		12.91		29		0.1		25.94		0.01		2.52		635
Kepler-327 d		12.11		41		0.1		13.97		0.01		2.63		454
Kepler-233 c		13.55		41		0.1		60.42		0.02		2.29		488
Kepler-1031 b		12.40		38		0.1		1.23		0.00		2.04		2402
Kepler-60 c		12.57		26		0.1		8.92		0.02		2.33		1407
Kepler-1160 b		14.21		45		0.1		7.97		0.02		2.43		1084
Kepler-1221 b		13.73		33		0.1		12.00		0.01		2.54		862
Kepler-750 b		13.21		47		0.1		9.43		0.03		2.27		1295
Kepler-255 c		13.85		64		0.1		9.95		0.03		2.28		1026
Kepler-260 b		12.54		39		0.1		8.19		0.01		2.48		992
Kepler-402 b		12.08		18		0.1		4.03		0.01		2.55		1764
Kepler-296 b		12.81		52		0.1		3.62		0.00		2.15		847
Kepler-47 b		13.64		35		0.1		49.51		0.03		2.28		614
Kepler-712 c		13.98		41		0.1		226.89		0.08		2.38		315
Kepler-958 b		12.12		41		0.1		9.77		0.02		2.46		979
Kepler-1164 b		12.26		34		0.1		3.98		0.00		2.43		1225
Kepler-184 d		12.75		40		0.1		29.02		0.02		2.33		722
Kepler-437 b		11.96		29		0.1		66.65		0.02		2.43		402
Kepler-1110 b		13.75		77		0.1		9.69		0.02		2.30		811
Kepler-944 b		13.96		39		0.1		43.32		0.02		2.30		590
Kepler-1556 b		13.70		34		0.1		8.83		0.01		2.51		1090
Kepler-183 b		13.38		44		0.1		5.69		0.02		2.46		1324
Kepler-1368 b		14.35		48		0.1		0.68		0.01		2.69		2836
Kepler-809 b		13.24		34		0.1		55.64		0.03		2.27		611
Kepler-278 b		9.58		8		0.1		30.16		0.05		2.37		1126
Kepler-354 b		13.26		48		0.1		5.48		0.01		2.57		888
Kepler-245 e		13.69		46		0.1		3.22		0.01		2.62		1315
Kepler-244 c		13.85		45		0.1		9.77		0.02		2.47		955
Kepler-1030 b		13.71		50		0.1		19.33		0.02		2.33		689
Kepler-1571 b		12.15		15		0.1		3.39		0.01		2.86		1958
Kepler-873 b		13.47		40		0.1		20.55		0.04		2.32		1011
Kepler-1589 b		13.55		31		0.1		0.99		0.00		2.38		2757
Kepler-376 c		12.38		18		0.1		14.17		0.01		2.60		1084
Kepler-1083 b		13.93		59		0.1		33.42		0.03		2.28		584
Kepler-186 e		11.82		31		0.1		22.41		0.01		2.61		428
Kepler-1147 b		13.89		41		0.1		10.63		0.02		2.31		1166
Kepler-331 d		13.51		31		0.1		32.13		0.01		2.69		393
Kepler-553 c		13.16		35		0.1		328.24		0.86		3.11		293
Kepler-349 c		13.28		33		0.1		12.25		0.01		2.51		1020
Kepler-1473 b		12.10		14		0.1		14.43		0.01		2.52		1048
Kepler-1619 b		11.89		18		0.1		23.62		0.00		1.83		836
Kepler-392 c		12.15		16		0.1		10.42		0.00		2.40		1184
Kepler-234 b		14.10		100		0.1		2.71		0.04		2.31		1931
Kepler-251 d		13.60		43		0.1		30.13		0.02		2.29		687
Kepler-1360 b		12.64		18		0.1		40.53		0.03		2.29		1022
Kepler-481 b		12.40		41		0.1		10.06		0.02		2.33		1149
Kepler-248 c		13.44		75		0.1		16.24		0.05		2.37		766
Kepler-1531 b		11.88		29		0.1		1.14		0.00		2.41		2702
Kepler-1206 b		13.76		58		0.1		1.22		0.01		2.69		1683
Kepler-219 d		12.40		18		0.1		47.90		0.02		2.28		798
Kepler-85 c		13.19		24		0.1		12.51		0.02		2.42		1096
Kepler-31 b		13.98		48		0.1		20.86		0.06		2.37		1010
Kepler-1241 b		13.82		54		0.1		18.55		0.02		2.30		750
Kepler-421 b		11.61		27		0.1		704.20		0.06		2.37		221
Kepler-654 b		12.20		26		0.1		13.72		0.02		2.46		1051
CoRoT-13 b		13.41		60		0.1		4.04		1.31		3.77		1516
Kepler-234 c		14.10		70		0.1		7.21		0.04		2.29		1393
Kepler-868 b		14.13		49		0.1		5.03		0.02		2.47		1283
Kepler-741 b		13.75		50		0.1		7.04		0.03		2.28		1424
Kepler-60 d		12.57		25		0.1		11.90		0.02		2.32		1278
Kepler-48 c		11.29		28		0.1		9.67		0.05		3.02		963
Kepler-965 b		11.98		23		0.1		134.25		0.03		2.28		501
Kepler-111 b		12.11		23		0.1		3.34		0.01		2.73		1756
Kepler-191 c		12.96		30		0.1		17.74		0.01		2.56		738
Kepler-185 c		12.59		32		0.1		20.73		0.01		2.48		698
Kepler-1543 b		12.33		30		0.1		6.97		0.02		2.29		1713
Kepler-903 c		13.06		27		0.1		62.92		0.02		2.32		579
Kepler-1297 b		13.38		38		0.1		1.68		0.00		2.21		1999
Kepler-1298 b		10.21		7		0.1		7.13		0.01		2.66		1795
Kepler-215 c		12.06		21		0.1		14.67		0.01		2.61		974
Kepler-399 d		12.78		27		0.1		58.03		0.01		2.54		480
Kepler-934 b		13.06		26		0.1		55.67		0.02		2.45		488
Kepler-1388 e		13.52		47		0.1		37.63		0.02		2.34		423
Kepler-1071 b		13.97		65		0.1		6.18		0.02		2.36		1075
Kepler-1070 b		12.70		19		0.1		6.22		0.01		2.64		1553
Kepler-356 b		11.74		17		0.1		4.61		0.01		2.74		1745
Kepler-1004 b		11.15		16		0.1		5.29		0.15		2.49		2117
Kepler-1482 b		12.03		23		0.1		12.25		0.00		2.27		896
Kepler-593 b		13.13		39		0.1		21.22		0.02		2.28		915
Kepler-1490 b		13.67		34		0.1		92.44		0.03		2.27		475
Kepler-823 b		13.25		27		0.1		4.17		0.01		2.74		1413
Kepler-23 c		12.05		32		0.1		10.74		0.03		2.28		1297
Kepler-228 c		14.11		72		0.1		4.13		0.02		2.30		1554
Kepler-726 b		13.38		61		0.1		21.80		0.03		2.28		754
Kepler-1536 b		12.70		28		0.1		364.76		0.03		2.27		220
Kepler-613 b		13.14		37		0.1		15.78		0.02		2.38		920
Kepler-296 f		12.81		24		0.1		63.34		0.01		2.60		326
Kepler-1245 b		13.57		28		0.1		4.35		0.01		2.78		1245
Kepler-935 b		12.77		31		0.1		4.88		0.01		2.69		1040
Kepler-117 c		12.99		32		0.1		50.79		0.92		3.16		828
Kepler-311 b		12.47		18		0.1		9.18		0.01		2.65		1260
Kepler-626 b		12.44		33		0.1		14.49		0.02		2.38		1000
Kepler-48 d		11.29		22		0.1		42.90		0.02		2.47		586
Kepler-288 c		13.66		40		0.1		19.31		0.02		2.28		945
Kepler-616 c		13.41		33		0.1		90.41		0.04		2.29		519
Kepler-1033 b		14.38		57		0.1		7.56		0.02		2.33		1123
Kepler-226 c		13.72		67		0.1		5.35		0.02		2.39		1170
Kepler-1639 b		13.19		40		0.1		9.88		0.02		2.31		1253
Kepler-226 b		13.72		35		0.1		3.94		0.01		2.76		1295
Kepler-841 b		14.04		52		0.1		124.42		0.09		2.38		404
Kepler-679 b		13.78		69		0.1		12.39		0.03		2.27		898
Kepler-340 b		11.63		19		0.1		14.84		0.02		2.32		1502
Kepler-390 b		12.19		34		0.1		6.74		0.00		1.94		988
Kepler-363 b		11.76		14		0.1		3.61		0.00		2.48		1821
Kepler-352 c		11.18		20		0.1		16.33		0.01		2.58		744
Kepler-963 b		13.22		61		0.1		9.98		0.02		2.30		985
Kepler-770 d		13.01		25		0.1		4.15		0.01		2.75		1384
Kepler-1088 b		10.48		11		0.1		23.13		0.01		2.77		882
Kepler-373 b		12.90		27		0.1		5.54		0.01		2.71		1233
Kepler-1057 b		13.98		52		0.1		14.09		0.03		2.28		1054
Kepler-827 b		14.27		65		0.1		51.93		0.11		2.39		594
Kepler-747 b		13.79		81		0.1		35.62		0.09		2.38		580
Kepler-512 b		11.35		23		0.1		34.44		0.02		2.30		839
Kepler-231 b		12.78		45		0.1		10.07		0.01		2.63		501
Kepler-272 b		12.83		26		0.1		2.97		0.01		2.77		1456
Kepler-774 b		11.65		16		0.1		11.09		0.03		2.27		1699
Kepler-1197 b		12.91		43		0.1		2.03		0.01		2.60		1348
Kepler-55 b		13.36		59		0.1		27.95		0.02		2.34		486
Kepler-37 c		8.00		2		0.1		21.30		0.01		4.16		729
Kepler-1112 b		13.45		29		0.1		14.36		0.03		2.27		1295
Kepler-529 b		12.47		41		0.1		1.98		0.01		2.56		2098
Kepler-987 b		13.48		33		0.1		105.30		0.03		2.28		469
Kepler-874 b		13.22		39		0.1		40.07		0.05		2.35		756
Kepler-168 c		13.26		44		0.1		13.19		0.02		2.30		1147
Kepler-1106 b		13.29		35		0.1		1.25		0.01		2.69		2468
Kepler-262 b		12.76		19		0.1		13.06		0.01		2.71		954
Kepler-154 d		13.09		57		0.1		20.55		0.05		2.33		868
Kepler-360 c		13.30		38		0.1		7.19		0.02		2.45		1323
Kepler-527 b		12.19		31		0.1		13.29		0.02		2.28		1278
Kepler-154 e		13.09		23		0.1		3.93		0.01		2.84		1507
Kepler-179 c		12.87		52		0.1		6.40		0.01		2.49		1020
Kepler-379 c		12.09		15		0.1		62.78		0.02		2.38		714
Kepler-377 c		12.47		18		0.1		27.01		0.02		2.46		899
Kepler-433 b		12.94		33		0.1		5.33		2.82		3.55		2099
Kepler-1153 b		14.07		50		0.1		1.76		0.01		2.64		1771
Kepler-323 b		11.42		25		0.1		1.68		0.01		2.77		2242
Kepler-577 b		12.95		51		0.1		25.70		0.02		2.32		617
Kepler-175 b		13.49		47		0.1		11.90		0.02		2.32		1094
Kepler-977 b		13.02		45		0.1		26.85		0.02		2.31		679
Kepler-529 c		12.47		25		0.1		12.83		0.01		2.49		1125
Kepler-759 b		13.01		24		0.1		41.81		0.02		2.38		701
Kepler-1522 b		12.73		46		0.1		1.85		0.01		2.64		1851
Kepler-882 b		12.35		29		0.1		3.99		0.01		2.57		1344
Kepler-302 c		13.91		36		0.1		127.28		1.00		3.05		517
Kepler-1447 b		13.15		34		0.1		56.67		0.03		2.28		598
Kepler-309 c		12.93		29		0.1		105.36		0.02		2.33		347
Kepler-1054 b		12.76		45		0.1		4.31		0.02		2.30		1752
Kepler-59 c		12.97		31		0.1		17.98		0.01		2.48		916
Kepler-209 b		12.43		36		0.1		16.09		0.02		2.39		866
Kepler-900 b		12.84		55		0.1		6.99		0.02		2.45		923
Kepler-382 b		12.95		23		0.1		5.26		0.01		2.67		1283
Kepler-534 b		11.78		35		0.1		15.96		0.02		2.39		941
Kepler-351 c		14.21		44		0.1		57.25		0.03		2.28		555
Kepler-1003 b		12.64		29		0.1		3.55		0.01		2.60		1745
Kepler-1553 b		13.17		32		0.1		4.24		0.00		2.47		1238
Kepler-230 b		13.37		68		0.1		32.63		0.06		2.37		648
Kepler-242 c		13.32		31		0.1		14.50		0.01		2.49		778
Kepler-1235 b		12.27		35		0.1		4.16		0.00		1.88		1356
Kepler-60 b		12.57		25		0.1		7.13		0.02		2.38		1516
Kepler-184 b		12.75		52		0.1		10.69		0.02		2.36		1007
Kepler-231 c		12.78		46		0.1		19.27		0.01		2.52		403
Kepler-323 c		11.42		24		0.1		3.55		0.01		2.70		1746
Kepler-273 b		13.35		34		0.1		2.94		0.01		2.84		1454
Kepler-946 b		13.34		31		0.1		11.79		0.01		2.52		994
Kepler-836 b		13.24		49		0.1		11.36		0.02		2.29		1091
Kepler-30 b		13.62		71		0.1		29.33		0.04		2.03		714
Kepler-198 d		12.07		35		0.1		1.31		0.01		2.86		2049
Kepler-106 b		11.49		25		0.1		6.16		0.00		1.94		1336
Kepler-833 b		13.01		44		0.1		18.75		0.01		2.48		568
Kepler-1257 b		13.85		31		0.1		2.67		0.01		2.86		1544
Kepler-120 c		12.42		28		0.1		12.79		0.01		2.86		525
Kepler-305 d		13.74		55		0.1		16.74		0.02		2.29		728
Kepler-859 b		13.95		65		0.1		20.38		0.03		2.27		685
Kepler-757 b		13.16		32		0.1		1.02		0.01		2.70		2568
Kepler-1208 b		13.92		55		0.1		11.09		0.02		2.37		832
KIC 11442793 f		12.53		19		0.1		124.91		0.03		2.28		530
Kepler-639 b		11.95		29		0.1		10.21		0.02		2.36		1238
Kepler-837 b		13.52		54		0.1		16.56		0.02		2.32		804
Kepler-315 b		13.62		32		0.1		96.10		0.04		2.32		528
Kepler-84 e		13.23		29		0.1		27.43		0.02		2.31		886
Kepler-107 c		11.11		20		0.1		4.90		0.01		2.58		1678
Kepler-848 b		12.48		19		0.1		6.91		0.01		2.65		1341
Kepler-869 b		13.40		46		0.1		40.43		0.04		2.30		663
Kepler-116 b		12.49		48		0.1		5.97		0.04		2.29		1674
Kepler-33 f		12.62		20		0.1		41.03		0.07		2.37		907
Kepler-924 b		12.83		25		0.1		61.04		0.03		2.27		697
Kepler-919 b		13.26		30		0.1		11.05		0.02		2.39		1209
Kepler-133 c		11.40		22		0.1		31.52		0.02		2.28		889
Kepler-24 c		13.45		46		0.1		12.33		0.02		2.29		1059
Kepler-1425 b		11.98		20		0.1		14.45		0.00		2.16		943
Kepler-825 c		12.73		26		0.1		8.18		0.01		2.57		1257
Kepler-1015 b		11.71		26		0.1		16.00		0.04		2.30		1386
Kepler-342 d		12.00		17		0.1		39.46		0.02		2.33		902
Kepler-832 b		14.29		44		0.1		7.14		0.02		2.46		1146
Kepler-319 d		12.31		31		0.1		31.78		0.02		2.38		680
Kepler-176 d		12.69		37		0.1		25.75		0.02		2.33		686
Kepler-1136 b		13.22		51		0.1		2.36		0.01		2.69		1210
Kepler-521 b		11.74		29		0.1		22.21		0.03		2.28		1075
Kepler-820 b		12.58		30		0.1		127.83		0.12		2.39		574
Kepler-938 b		13.39		26		0.1		52.63		0.02		2.40		579
Kepler-33 c		12.62		23		0.1		13.18		0.03		2.28		1325
Kepler-227 b		13.75		56		0.1		9.49		0.03		2.27		1184
Kepler-909 b		10.33		11		0.1		13.93		0.01		2.81		1133
Kepler-460 c		12.43		27		0.1		220.13		0.10		2.39		474
Kepler-1357 b		13.68		31		0.1		3.01		0.01		2.62		1526
Kepler-1263 b		13.22		32		0.1		4.55		0.00		2.46		1188
Kepler-671 b		13.76		73		0.1		4.28		0.02		2.30		1391
Kepler-192 c		12.51		40		0.1		21.22		0.02		2.29		814
Kepler-332 d		12.07		17		0.1		34.21		0.01		2.51		531
Kepler-1051 b		11.99		23		0.1		25.96		0.03		2.29		1145
Kepler-664 b		14.06		79		0.1		2.53		0.02		2.30		1747
Kepler-291 b		14.34		53		0.1		3.55		0.02		2.42		1626
Kepler-167 c		11.97		27		0.1		7.41		0.01		2.72		915
Kepler-632 b		11.57		32		0.1		31.00		0.02		2.41		647
Kepler-1270 b		11.33		10		0.1		6.03		0.03		2.28		2005
Kepler-555 b		12.70		45		0.1		16.22		0.02		2.28		969
Kepler-258 c		13.09		45		0.1		33.65		0.04		2.30		600
Kepler-300 c		12.80		30		0.1		40.71		0.02		2.39		677
Kepler-1616 b		12.26		15		0.1		6.76		0.00		2.28		1523
Kepler-1641 c		12.86		31		0.1		32.66		0.03		2.28		845
Kepler-496 b		13.02		56		0.1		8.31		0.02		2.37		995
Kepler-338 c		10.84		14		0.1		24.31		0.02		2.37		1104
Kepler-1309 b		13.67		39		0.1		28.84		0.02		2.36		643
CoRoT-10 b		11.93		32		0.1		13.24		2.76		4.33		797
Kepler-1001 b		13.72		65		0.1		14.31		0.03		2.27		885
Kepler-773 b		11.91		23		0.1		3.75		0.01		2.78		1542
Kepler-1534 b		13.96		42		0.1		5.72		0.01		2.54		1178
Kepler-758 b		13.15		27		0.1		12.11		0.02		2.33		1293
Kepler-58 c		13.38		47		0.1		15.57		0.02		2.28		982
Kepler-1398 c		12.39		21		0.1		4.14		0.00		2.30		1665
Kepler-434 b		13.04		24		0.1		12.87		2.86		4.06		1190
Kepler-770 c		13.01		39		0.1		1.48		0.01		2.53		1954
Kepler-558 b		13.01		39		0.1		29.01		0.02		2.36		647
Kepler-119 c		12.64		36		0.1		4.13		0.00		2.12		1310
Kepler-1078 b		14.02		48		0.1		3.01		0.01		2.53		1545
Kepler-193 b		13.24		37		0.1		11.39		0.02		2.35		1236
Kepler-1494 b		13.70		31		0.1		91.08		0.03		2.27		503
Kepler-1265 b		13.32		30		0.1		6.49		0.01		2.69		895
Kepler-52 c		12.51		48		0.1		16.39		0.01		2.57		526
Kepler-124 d		12.31		22		0.1		30.95		0.00		2.41		519
Kepler-339 b		12.89		29		0.1		4.98		0.01		2.77		1211
Kepler-310 c		12.69		46		0.1		56.48		0.03		2.28		580
Kepler-1170 b		13.99		61		0.1		9.99		0.02		2.35		873
Kepler-1095 b		12.95		27		0.1		4.27		0.01		2.54		1386
Kepler-176 b		12.69		22		0.1		5.43		0.01		2.77		1152
Kepler-1080 b		12.21		26		0.1		77.25		0.03		2.28		608
Kepler-179 b		12.87		46		0.1		2.74		0.01		2.69		1354
Kepler-329 b		12.85		37		0.1		7.42		0.01		2.75		647
Kepler-196 b		12.30		29		0.1		20.74		0.01		2.54		677
Kepler-169 c		12.28		28		0.1		6.20		0.01		2.54		974
Kepler-206 c		12.05		17		0.1		13.14		0.01		2.61		1090
Kepler-1552 b		13.01		23		0.1		184.77		0.02		2.33		340
Kepler-1337 b		13.50		50		0.1		24.40		0.02		2.35		555
Kepler-559 b		13.03		61		0.1		17.59		0.04		2.30		871
Kepler-655 b		12.24		24		0.1		46.41		0.02		2.29		766
Kepler-605 c		12.50		41		0.1		2.36		0.00		2.02		1603
Kepler-29 c		13.67		55		0.1		13.29		0.03		2.28		975
Kepler-1199 b		11.66		13		0.1		15.04		0.00		2.47		1069
Kepler-139 c		11.22		17		0.1		157.07		0.03		2.28		485
Kepler-828 b		13.15		59		0.1		0.57		0.01		2.85		2267
Kepler-1378 b		13.30		53		0.1		11.95		0.02		2.41		686
Kepler-783 b		12.34		35		0.1		4.29		0.00		1.88		1330
Kepler-342 c		12.00		13		0.1		26.23		0.01		2.51		1034
Kepler-316 c		12.68		41		0.1		6.83		0.00		2.48		655
Kepler-681 b		13.27		60		0.1		26.39		0.03		2.27		626
Kepler-87 b		13.03		25		0.1		114.74		1.02		2.89		627
Kepler-1439 b		12.95		46		0.1		8.07		0.01		2.80		546
Kepler-313 b		12.55		21		0.1		14.97		0.02		2.32		1181
Kepler-367 c		10.75		14		0.1		53.58		0.01		2.53		427
Kepler-1052 b		13.39		37		0.1		34.85		0.03		2.28		746
Kepler-293 b		13.78		53		0.1		19.25		0.03		2.27		869
Kepler-1448 b		12.95		21		0.1		12.27		0.01		2.71		998
Kepler-361 c		12.28		18		0.1		55.19		0.02		2.32		770
Kepler-1240 b		12.41		25		0.1		4.87		0.00		2.47		1351
Kepler-219 c		12.40		29		0.1		22.71		0.04		2.30		1023
Kepler-596 b		12.81		36		0.1		21.30		0.04		2.29		1032
Kepler-1068 b		14.32		58		0.1		16.92		0.04		2.31		930
Kepler-1365 c		11.93		27		0.1		4.77		0.00		1.90		1440
Kepler-1273 b		14.19		37		0.1		28.63		0.02		2.33		719
Kepler-278 c		9.58		6		0.1		51.08		0.04		2.30		945
Kepler-1008 b		11.46		22		0.1		12.44		0.01		2.62		820
Kepler-263 b		13.53		57		0.1		16.57		0.02		2.30		750
Kepler-1379 b		13.99		53		0.1		0.88		0.01		2.65		2034
Kepler-1073 c		12.96		29		0.1		4.03		0.01		2.69		1493
Kepler-884 b		11.60		24		0.1		5.70		0.01		2.57		1272
Kepler-245 d		13.69		49		0.1		36.28		0.03		2.27		563
Kepler-140 b		11.76		21		0.1		3.25		0.01		2.71		1908
Kepler-1000 b		12.14		21		0.1		120.02		0.08		2.38		623
Kepler-228 d		14.11		73		0.1		11.09		0.05		2.36		1119
Kepler-1544 b		11.98		13		0.1		168.81		0.01		2.60		323
Kepler-272 d		12.83		39		0.1		10.94		0.02		2.39		943
Kepler-1462 b		14.08		38		0.1		65.65		0.05		2.33		585
Kepler-803 b		12.07		36		0.1		50.29		0.05		2.33		690
Kepler-61 b		12.43		31		0.1		59.88		0.02		2.43		358
Kepler-390 c		12.19		27		0.1		13.06		0.00		1.89		792
Kepler-1227 b		12.64		21		0.1		94.29		0.02		2.38		507
Kepler-964 b		12.24		40		0.1		13.52		0.02		2.44		866
Kepler-610 b		13.31		72		0.1		7.00		0.06		2.37		1333
Kepler-583 b		13.18		52		0.1		6.51		0.02		2.38		1169
Kepler-306 c		13.61		67		0.1		7.24		0.02		2.36		890
Kepler-1288 b		12.00		20		0.1		2.76		0.00		2.43		1974
Kepler-573 b		12.70		40		0.1		22.18		0.02		2.29		848
Kepler-82 b		13.53		61		0.1		26.44		0.05		2.36		739
Kepler-31 c		13.98		37		0.1		42.63		0.06		2.37		796
Kepler-326 d		11.78		26		0.1		6.77		0.01		2.54		990
Kepler-790 b		13.29		44		0.1		13.73		0.02		2.42		821
Kepler-165 c		12.93		45		0.1		15.31		0.02		2.40		755
Kepler-467 b		10.96		18		0.1		24.99		0.02		2.39		946
Kepler-243 c		13.19		29		0.1		20.03		0.01		2.49		724
Kepler-925 b		13.41		39		0.1		33.87		0.02		2.36		525
Kepler-341 c		13.11		25		0.1		8.01		0.01		2.65		1247
Kepler-399 b		12.78		31		0.1		14.43		0.00		2.19		764
Kepler-1352 b		11.96		31		0.1		1.88		0.00		2.06		2152
Kepler-1409 b		13.30		61		0.1		0.76		0.00		2.32		2121
Kepler-1577 b		12.94		30		0.1		6.31		0.00		2.44		967
Kepler-620 b		13.29		46		0.1		12.91		0.03		2.28		1161
Kepler-1480 b		12.64		21		0.1		22.13		0.01		2.67		696
Kepler-1296 b		12.87		28		0.1		8.38		0.00		2.10		1008
Kepler-265 c		13.94		37		0.1		17.03		0.02		2.31		977
Kepler-135 c		11.51		13		0.1		11.45		0.00		2.48		1251
Kepler-268 c		12.41		24		0.1		83.45		0.03		2.28		644
Kepler-1451 b		13.72		44		0.1		35.62		0.03		2.28		717
Kepler-824 b		13.57		28		0.1		4.51		0.01		2.55		1616
KIC 11442793 g		12.53		41		0.1		210.61		0.22		2.38		445
KOI-4427 b		12.68		22		0.1		147.66		0.01		2.57		234
Kepler-806 b		10.16		16		0.1		8.09		0.00		2.46		1271
Kepler-710 b		13.40		42		0.1		4.35		0.01		2.54		1359
Kepler-224 b		13.72		40		0.1		3.13		0.01		2.74		1156
Kepler-876 b		13.44		29		0.1		5.14		0.01		2.78		1092
Kepler-776 b		13.43		30		0.1		4.90		0.01		2.62		1115
Kepler-1505 b		11.50		18		0.1		30.86		0.00		2.14		698
Kepler-666 b		13.85		54		0.1		4.50		0.02		2.35		1491
Kepler-1172 b		14.24		53		0.1		26.02		0.03		2.28		736
Kepler-259 b		13.67		71		0.1		8.12		0.02		2.29		1148
Kepler-253 b		13.63		38		0.1		3.78		0.01		2.70		1215
Kepler-1519 b		13.26		57		0.1		240.80		0.14		2.25		358
Kepler-306 e		13.61		34		0.1		44.84		0.02		2.39		485
Kepler-182 b		13.57		44		0.1		9.83		0.02		2.31		1281
Kepler-1285 b		10.50		13		0.1		14.80		0.00		2.21		1131
Kepler-952 b		13.74		62		0.1		130.35		0.18		2.32		461
Kepler-97 b		11.41		29		0.1		2.59		0.01		2.77		1726
Kepler-132 d		10.52		12		0.1		18.01		0.01		2.76		1019
Kepler-380 b		12.35		19		0.1		3.93		0.01		2.52		1737
Kepler-1077 b		13.48		35		0.1		34.35		0.02		2.29		738
Kepler-1043 b		13.20		35		0.1		38.51		0.02		2.32		657
Kepler-770 b		13.01		37		0.1		18.93		0.02		2.38		835
Kepler-306 b		13.61		30		0.1		4.65		0.01		2.85		1032
Kepler-542 b		11.85		20		0.1		13.14		0.01		2.74		922
Kepler-975 b		12.28		39		0.1		1.97		0.01		2.82		1439
Kepler-29 b		13.67		73		0.1		10.34		0.04		2.30		1060
Kepler-215 b		12.06		20		0.1		9.36		0.01		2.71		1131
Kepler-727 b		13.59		72		0.1		5.15		0.02		2.32		1221
Kepler-891 b		13.84		73		0.1		53.45		0.11		2.18		656
Kepler-1145 b		13.48		33		0.1		3.97		0.01		2.75		1181
Kepler-1012 b		11.76		24		0.1		5.51		0.01		2.63		1241
Kepler-520 b		11.55		16		0.1		19.67		0.01		2.68		954
Kepler-920 c		13.65		40		0.1		100.83		0.05		2.33		447
Kepler-1570 b		12.05		16		0.1		26.55		0.00		2.35		730
Kepler-1518 b		12.10		32		0.1		5.11		0.03		2.27		2079
Kepler-357 b		13.51		36		0.1		6.48		0.01		2.57		1012
Kepler-672 b		13.64		33		0.1		38.38		0.02		2.33		662
