Name		Hmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
WASP-46 b		11.46		191		0.9		1.43		2.10		3.46		1972
HAT-P-37 b		11.71		210		0.9		2.80		1.17		3.09		1517
Kepler-427 b		12.81		344		0.9		10.29		0.29		1.60		1279
HATS-10 b		11.57		181		0.8		3.31		0.53		2.68		1673
Kepler-411 c		10.16		89		0.8		7.83		0.03		2.28		941
Kepler-78 b		9.68		69		0.8		0.36		0.01		2.65		2625
TrES-5 b		11.67		178		0.8		1.48		1.78		3.45		1763
WASP-36 b		11.35		156		0.8		1.54		2.27		3.60		2021
WASP-60 b		10.66		114		0.8		4.31		0.51		2.89		1568
Kepler-16 b		9.14		59		0.8		228.78		0.33		2.72		256
Kepler-89 e		10.96		137		0.8		54.32		0.04		1.09		792
XO-5 b		10.44		94		0.7		4.19		1.15		3.34		1436
Kepler-25 c		9.53		60		0.7		12.72		0.09		2.38		1224
Kepler-77 b		12.44		237		0.7		3.58		0.43		2.50		1485
Kepler-93 b		8.45		36		0.7		4.73		0.01		2.47		1349
HAT-P-14 b		8.93		44		0.7		4.63		2.24		3.78		1863
Kepler-210 b		11.45		141		0.7		2.45		0.03		2.28		1117
Kepler-1520 b		13.43		362		0.7		0.65		0.11		2.39		1949
WASP-38 b		8.11		30		0.7		6.87		2.71		4.08		1495
Kepler-1446 b		10.30		74		0.6		0.69		0.00		1.94		2025
Kepler-718 b		13.68		323		0.6		2.05		1.00		2.48		2215
CoRoT-12 b		13.63		342		0.6		2.83		0.92		2.44		1716
Kepler-18 c		11.87		159		0.6		7.64		0.05		1.77		1185
Kepler-445 b		12.93		236		0.6		2.98		0.01		2.71		548
Kepler-488 b		13.40		311		0.6		3.12		1.00		2.57		1729
Kepler-412 b		12.93		248		0.6		1.72		0.94		2.63		2175
CoRoT-22 b		12.09		163		0.6		9.76		0.04		1.61		1196
WASP-71 b		9.42		52		0.6		2.90		2.24		3.25		2455
Kepler-210 c		11.45		114		0.6		7.97		0.04		2.31		754
