Name		Hmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
HAT-P-31		10.08		40		0.3		5.00		2.17		3.90		1730
CoRoT-26		13.26		171		0.3		4.21		0.52		2.14		1870
CoRoT-19		11.84		92		0.3		3.90		1.09		2.99		1938
CoRoT-07		9.81		37		0.3		0.85		0.02		3.16		2094
XO-3		8.79		13		0.2		3.19		11.83		5.28		2057
WASP-141		11.19		50		0.2		3.31		2.69		3.86		1875
Qatar-5		10.96		34		0.2		2.88		4.32		4.52		1683
Qatar-4		11.52		41		0.2		1.80		6.10		4.81		1647
OGLE-TR-L9		13.12		81		0.2		2.49		4.40		3.76		2420
OGLE-TR-182		14.74		180		0.2		3.98		1.06		2.54		1842
Kepler-101b		12.01		49		0.2		3.49		0.16		2.76		1865
Kepler-087c		12.98		99		0.2		191.23		0.02		0.55		527
Kepler-074		12.96		111		0.2		7.34		0.63		2.88		1303
Kepler-044		12.88		99		0.2		3.25		1.00		3.08		1830
Kepler-020c		10.87		41		0.2		10.85		0.04		2.64		1005
Kepler-010c		9.50		18		0.2		45.29		0.02		2.62		688
Kepler-005		11.77		56		0.2		3.55		2.03		3.59		2014
K2-113		11.95		59		0.2		5.82		1.29		3.66		1377
K2-108		10.56		24		0.2		4.73		0.19		3.08		1735
K2-106b		10.34		23		0.2		0.57		0.02		3.52		2652
K2-098		10.87		31		0.2		10.14		0.10		2.90		1309
K2-038c		9.47		22		0.2		10.56		0.03		2.85		1115
HD_080606		7.32		8		0.2		111.44		4.11		4.66		482
HATS-16		12.28		63		0.2		2.69		3.27		3.92		1892
HATS-15		12.72		99		0.2		1.75		2.17		3.83		1776
HATS-12		11.39		43		0.2		3.14		2.39		3.48		2495
HAT-P-21		10.11		25		0.2		4.12		4.06		4.61		1516
HAT-P-02		7.60		9		0.2		5.63		8.74		5.08		1801
CoRoT-24c		12.92		84		0.2		11.76		0.09		2.47		841
CoRoT-18		13.01		95		0.2		1.90		3.27		3.99		1774
CoRoT-13		13.38		120		0.2		4.04		1.31		3.08		1704
CoRoT-09		11.69		59		0.2		95.27		0.84		2.95		497
WTS-1		15.27		84		0.1		3.35		4.01		3.85		1773
WASP-089		11.00		24		0.1		3.36		5.90		4.95		1290
Qatar-3		11.22		28		0.1		2.51		4.31		4.53		1999
OGLE-TR-132		14.99		160		0.1		1.69		1.17		3.00		2368
Kepler-539		10.91		16		0.1		125.63		0.97		3.81		461
Kepler-433		12.83		33		0.1		5.33		2.82		3.55		2098
Kepler-087b		12.98		24		0.1		114.74		1.02		2.91		625
Kepler-046b		13.35		33		0.1		33.60		0.89		3.55		645
Kepler-043		12.55		36		0.1		3.02		3.09		4.17		1906
Kepler-040		13.27		35		0.1		6.87		2.16		3.30		2076
Kepler-022		10.15		12		0.1		289.86		0.02		2.52		340
Kepler-020d		10.87		19		0.1		77.61		0.03		2.63		523
Kepler-020b		10.87		17		0.1		3.70		0.03		3.35		1438
KELT-01		9.44		5		0.1		1.22		27.38		6.35		2883
K2-111		9.38		13		0.1		5.35		0.03		3.19		1463
K2-056		9.37		8		0.1		41.69		0.05		3.51		649
K2-038b		9.47		6		0.1		4.02		0.04		3.95		1540
HATS-36		12.81		63		0.1		4.17		2.79		3.81		1621
