Name,Kmag,Depth (Em),Depth (Rf),Noise,Albedo,Eq Temp,Mass
-,-,ppm,ppm,ppm,-,K,M_jup
WASP-158,10.88,347.8,0.0,184.1,0.00,1888,2.79
WASP-011,9.42,176.3,0.0,94.0,0.00,1180,0.49
Kepler-007,11.54,466.7,0.0,249.5,0.00,1927,0.45
CoRoT-18,13.01,914.0,0.0,491.0,0.00,1727,3.30
K2-141b,8.40,109.1,0.0,58.8,0.00,2572,0.02
HAT-P-25,10.81,325.4,0.0,178.3,0.00,1401,0.57
XO-5,10.35,261.3,0.0,144.2,0.00,1442,1.19
WASP-053,10.39,263.9,0.0,146.9,0.00,1252,2.13
Kepler-008,12.29,612.8,0.0,352.5,0.00,1978,0.59
HATS-41,11.50,424.0,0.0,245.0,0.00,1995,9.70
HATS-04,11.61,445.4,0.0,257.7,0.00,1566,1.32
HATS-66,12.76,754.8,0.0,437.6,0.00,2337,5.50
WASP-144,10.90,320.1,0.0,185.8,0.00,1437,0.44
WASP-030,10.20,229.2,0.0,134.6,0.00,1778,62.50
HATS-29,10.88,313.3,0.0,184.1,0.00,1439,0.65
HATS-13,11.98,513.4,0.0,305.6,0.00,1481,0.54
Kepler-006,11.63,436.1,0.0,260.1,0.00,1726,0.63
HAT-P-55,11.63,435.7,0.0,260.1,0.00,1561,0.58
Kepler-005,11.77,458.0,0.0,277.4,0.00,2013,2.03
HATS-63,12.22,562.3,0.0,341.3,0.00,1666,0.96
WASP-067,10.13,213.0,0.0,130.3,0.00,1243,0.41
K2-030,11.09,325.1,0.0,202.8,0.00,1391,0.62
HATS-25,11.42,375.1,0.0,236.1,0.00,1518,0.61
HATS-69,11.88,462.1,0.0,291.8,0.00,1583,0.00
EPIC_246067459,12.03,488.6,0.0,312.7,0.00,1898,0.86
HATS-53,12.05,491.5,0.0,315.6,0.00,1558,0.59
WASP-157,10.76,270.7,0.0,174.2,0.00,1551,0.57
Kepler-423,12.78,669.1,0.0,441.7,0.00,1641,0.59
