Name,Kmag,AtmDepth,SNR,Period,Mass,logg,Eq Temp
-,-,ppm,-,days,M_jup,-,K
CoRoT-06,12.12,51.7,0.159,8.89,2.96,52.25,1220
K2-111,9.38,14.4,0.156,5.35,0.03,23.16,1462
Qatar-3,11.22,30.9,0.144,2.51,4.31,88.93,1998
Kepler-091,10.14,18.7,0.143,6.25,0.73,9.45,2411
HATS-17,10.70,23.4,0.138,16.25,1.34,54.93,968
Kepler-035,13.88,98.8,0.135,131.46,0.13,5.94,420
WASP-089,11.00,26.0,0.134,3.36,5.90,135.21,1290
Kepler-030b,13.58,84.5,0.132,29.22,0.03,6.38,715
Kepler-289c,12.51,51.5,0.132,66.06,0.01,5.64,598
EPIC_211418729,12.30,46.3,0.131,11.39,1.85,51.68,858
HATS-36,12.81,58.6,0.131,4.17,3.22,52.26,1627
EPIC_211682544,9.75,13.6,0.124,50.82,0.05,24.99,560
CoRoT-10,11.78,34.3,0.123,13.24,2.78,77.82,770
Kepler-079b,12.61,50.0,0.123,13.48,0.03,8.77,1181
Kepler-020d,10.87,21.1,0.115,77.61,0.03,13.24,523
Kepler-080e,12.25,38.8,0.112,4.64,0.01,15.76,967
Kepler-020b,10.87,19.3,0.105,3.70,0.03,27.20,1438
K2-056,9.37,9.5,0.104,41.69,0.05,31.92,649
Kepler-043,12.55,39.5,0.099,3.02,3.09,61.61,1906
POTS-1,14.24,85.6,0.099,3.16,2.31,64.66,1001
Kepler-022,10.15,13.0,0.098,289.86,0.02,11.91,340
Kepler-693,14.18,81.9,0.097,15.38,0.90,26.94,764
Kepler-539,10.91,17.9,0.096,125.63,0.97,43.09,461
Kepler-018b,11.76,26.3,0.095,3.50,0.02,17.21,1537
HATS-61,11.48,22.3,0.092,7.82,3.40,58.43,1483
WASP-162,10.47,13.9,0.091,9.62,5.20,128.89,1085
CoRoT-23,12.36,29.6,0.081,3.63,3.06,54.47,2035
Kepler-433,12.83,36.4,0.081,5.33,2.82,33.25,2097
Kepler-034,13.24,43.1,0.079,288.82,0.22,9.34,350
HATS-66,12.76,34.3,0.078,3.14,5.50,60.59,2337
K2-038b,9.47,7.2,0.075,4.02,0.04,49.46,1539
Kepler-040,13.27,38.3,0.069,6.87,2.16,25.82,2076
Kepler-080d,12.25,23.5,0.068,3.07,0.02,28.41,1111
CoRoT-21,13.81,47.5,0.067,2.73,2.26,34.73,2431
WTS-1,15.27,90.7,0.065,3.35,4.01,44.77,1773
CoRoT-17,12.47,24.8,0.065,3.77,2.46,60.13,1910
Kepler-046b,13.35,36.1,0.063,33.60,0.89,33.43,645
KELT-01,9.44,5.5,0.058,1.22,27.38,544.90,2882
Kepler-030c,13.58,36.9,0.058,60.33,1.69,36.57,561
HATS-41,11.50,13.6,0.055,4.19,9.70,135.92,1995
Kepler-056c,10.23,7.6,0.055,21.40,0.57,18.46,1404
KOI-1599.01,12.57,22.0,0.055,20.41,0.01,12.44,905
Kepler-087b,12.98,26.4,0.054,114.74,1.02,17.47,625
K2-066,10.60,8.6,0.053,5.07,0.07,33.70,1784
Kepler-434,13.04,25.8,0.052,12.88,2.86,55.52,1190
HATS-70,12.04,15.6,0.050,1.89,12.90,166.93,3273
Kepler-289b,12.51,18.9,0.048,34.55,0.02,15.46,750
Kepler-420,12.73,20.0,0.046,86.65,1.45,40.68,544
CoRoT-20,12.51,17.9,0.046,9.24,4.14,102.62,1217
Kepler-068c,8.59,2.7,0.042,9.61,0.01,51.46,1231
Kepler-117c,13.01,19.5,0.040,50.79,1.84,37.62,844
Kepler-089b,10.93,7.4,0.039,3.74,0.03,34.94,1932
KOI-3680,13.10,20.0,0.039,141.24,1.93,48.81,448
Kepler-036b,10.79,6.8,0.039,13.84,0.01,19.09,1273
Kepler-419,11.86,10.3,0.036,69.80,2.77,54.73,811
Kepler-014,10.99,6.7,0.034,6.79,7.68,150.14,1909
KOI-1599.02,12.57,12.9,0.032,13.62,0.03,24.27,1037
LHS_6343,8.70,1.9,0.029,12.71,62.10,2510.64,426
CoRoT-14,13.81,18.3,0.026,1.51,7.67,183.45,2303
Kepler-413,13.41,14.1,0.024,66.25,0.21,36.24,398
CoRoT-27,12.98,11.1,0.023,3.58,10.39,253.96,1612
Kepler-075,13.12,11.7,0.023,8.88,10.10,227.07,984
Kepler-1647,12.01,5.8,0.019,1107.59,1.52,33.59,289
EPIC_219388192,10.73,2.5,0.014,5.29,36.84,1040.05,1384
WASP-128,10.94,2.6,0.014,2.21,37.19,1049.94,1933
