# TIC     |   RA      |   Dec     | EclipticLong | EclipticLat | Sector | Camera | Ccd | ColPix | RowPix
000000612 |   5.160542 | -22.064278 | 355.476929 | -22.197812 |  2 | 1 | 2 | 1949.196 | 1293.219
000000614 |  52.818000 | -22.180306 |  43.259809 | -39.780639 |  4 | 2 | 3 | 1527.608 | 1744.153
000000615 | 101.127458 | -41.238194 | 109.283018 | -63.935856 |  6 | 3 | 1 |  936.106 | 1901.460
000000615 | 101.127458 | -41.238194 | 109.283018 | -63.935856 |  7 | 3 | 2 |  770.574 | 1803.990
000000617 | 195.359875 | -26.477806 | 204.580552 | -18.344977 | 10 | 1 | 2 |  943.744 | 2022.628
000000620 | 357.879500 | -38.093278 | 340.909165 | -33.672412 |  2 | 2 | 4 |  345.306 |  680.088
000000621 | 358.408458 |  -9.881917 | 354.579723 |  -8.428212 |  2 | 1 | 3 |  172.002 |  462.565
000000622 | 169.438958 | -18.945194 | 178.154564 | -21.520259 |  9 | 1 | 2 |  929.217 | 1478.726
000000625 | 165.399542 | -22.139333 | 175.892704 | -26.017254 |  9 | 1 | 2 |  552.380 |  711.424
000000626 |  76.081792 |  -5.770167 |  74.201396 | -28.451049 |  5 | 1 | 2 | 1283.767 |  231.075
000000627 | 131.580417 |  -7.973139 | 136.460995 | -24.957829 |  8 | 1 | 1 |  627.392 |  849.767
000000631 | 190.618750 | -29.360139 | 201.782508 | -22.702416 | 10 | 1 | 2 |  475.118 | 1290.452
000000632 | 192.981750 | -41.926333 | 210.029864 | -33.130273 | 10 | 2 | 3 |  498.816 |  656.309
000000633 | 154.908375 |  -8.193750 | 159.875186 | -17.321414 |  9 | 1 | 4 | 2038.835 | 2046.763
000000634 |   3.903167 | -10.061833 | 359.529047 | -10.775099 |  3 | 1 | 4 | 1945.293 |  883.381
000000635 |   5.237458 | -34.001722 | 349.494833 | -32.899720 |  2 | 2 | 3 | 1263.128 |  559.722
000000636 | 318.736917 | -54.128306 | 303.048135 | -36.137218 |  1 | 2 | 4 | 1781.542 | 1221.114
000000641 |  91.089458 | -15.034694 |  91.340062 | -38.470496 |  6 | 2 | 4 |  203.899 | 1508.006
000000644 |  31.909250 | -19.338056 |  22.133807 | -30.146858 |  3 | 2 | 3 |  435.158 |  107.835
000000646 | 203.758083 | -16.496472 | 208.034440 |  -6.133964 | 10 | 1 | 3 |  487.280 |   34.662
000000652 |  75.299625 | -25.945861 |  69.907834 | -48.366657 |  5 | 2 | 2 |  448.825 |  996.465
000000653 |  87.139958 | -62.011583 |  73.436495 | -85.287416 |  1 | 4 | 4 |  698.582 | 1738.499
000000653 |  87.139958 | -62.011583 |  73.436495 | -85.287416 |  3 | 4 | 1 | 1437.294 | 1721.953
000000653 |  87.139958 | -62.011583 |  73.436495 | -85.287416 |  4 | 4 | 1 | 1689.775 | 1434.004
000000653 |  87.139958 | -62.011583 |  73.436495 | -85.287416 |  5 | 4 | 1 | 2044.459 | 1295.676
000000653 |  87.139958 | -62.011583 |  73.436495 | -85.287416 |  6 | 4 | 2 |  255.656 | 1336.428
000000653 |  87.139958 | -62.011583 |  73.436495 | -85.287416 |  7 | 4 | 2 |  568.902 | 1538.621
000000653 |  87.139958 | -62.011583 |  73.436495 | -85.287416 |  8 | 4 | 2 |  755.854 | 1855.169
000000653 |  87.139958 | -62.011583 |  73.436495 | -85.287416 |  9 | 4 | 3 | 1354.322 | 1988.989
000000653 |  87.139958 | -62.011583 |  73.436495 | -85.287416 | 10 | 4 | 3 | 1492.338 | 1647.733
000000653 |  87.139958 | -62.011583 |  73.436495 | -85.287416 | 11 | 4 | 3 | 1777.356 | 1398.702
000000653 |  87.139958 | -62.011583 |  73.436495 | -85.287416 | 13 | 4 | 4 |  359.370 | 1399.252
000000654 |  94.336417 | -37.676722 |  97.089293 | -61.010869 |  6 | 3 | 1 | 1808.288 | 1253.348
000000654 |  94.336417 | -37.676722 |  97.089293 | -61.010869 |  7 | 3 | 2 | 1859.668 | 1558.550
000000655 | 101.115042 | -31.141583 | 106.281109 | -53.955853 |  6 | 3 | 1 |  766.848 |  121.065
000000655 | 101.115042 | -31.141583 | 106.281109 | -53.955853 |  7 | 3 | 2 | 1378.985 |  115.481
000000657 | 158.225000 | -33.010194 | 174.955440 | -38.577717 |  9 | 2 | 3 | 1798.104 | 1528.726
000000662 |  29.263375 |   0.758833 |  27.476402 | -10.503065 |  4 | 1 | 4 | 1874.745 |  832.649
000000663 |  41.040000 | -29.830806 |  26.388631 | -43.076202 |  3 | 2 | 2 | 1936.090 | 1736.174
000000663 |  41.040000 | -29.830806 |  26.388631 | -43.076202 |  4 | 2 | 1 |  633.340 | 1798.736
000000664 | 319.949625 | -57.851111 | 302.032199 | -39.835548 |  1 | 2 | 4 | 1816.319 | 1882.866
000000668 |  37.155083 |  -6.939333 |  32.391965 | -20.447566 |  4 | 1 | 1 | 1183.479 | 1667.983
000000669 |  63.756292 | -21.883583 |  56.299319 | -42.302868 |  5 | 2 | 1 |  941.525 | 1973.756
000000670 |  66.370917 | -29.399583 |  56.962336 | -50.165676 |  5 | 2 | 1 | 1165.684 |  626.201
000000673 |  72.660667 |   1.893917 |  71.461493 | -20.438155 |  5 | 1 | 2 |  892.458 | 1666.995
000000674 | 190.152125 | -18.715722 | 196.758530 | -13.178265 | 10 | 1 | 4 |  303.353 | 1279.939
000000678 | 185.324667 | -51.159167 | 210.182524 | -43.745630 | 10 | 2 | 2 | 1404.272 | 1702.969
