Name		Bmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
Kepler-103 b		12.68		1		0.00524		15.97		0.03		2.17		1126
Kepler-117 c		14.93		3		0.00473		50.79		0.92		3.16		828
Kepler-19 b		12.88		1		0.00468		9.29		0.02		2.41		1007
Kepler-126 b		10.93		0		0.00442		10.50		0.01		2.85		1361
K2-3 b		13.52		1		0.00412		10.05		0.02		2.41		603
Kepler-381 b		11.08		0		0.00401		5.63		0.00		2.24		1776
Kepler-33 d		14.39		1		0.00354		21.78		0.10		2.38		1121
Kepler-131 b		12.22		0		0.00342		16.09		0.05		3.39		934
Kepler-136 b		12.51		0		0.00341		11.58		0.02		2.47		1301
Kepler-278 b		12.79		0		0.00329		30.16		0.05		2.37		1126
Kepler-144 b		12.69		0		0.00325		5.89		0.01		2.68		1533
Kepler-338 b		12.88		0		0.00324		13.73		0.02		2.34		1336
Kepler-444 c		9.67		0		0.00323		4.55		0.00		1.24		1134
Kepler-42 b		17.96		8		0.00315		1.21		0.00		1.87		683
Kepler-248 b		16.21		3		0.00302		6.31		0.03		2.27		1050
Kepler-132 c		12.49		0		0.00295		6.41		0.01		2.62		1438
Kepler-444 b		9.67		0		0.0029		3.60		0.00		0.95		1226
Kepler-102 e		12.58		0		0.00288		16.15		0.03		2.92		710
Kepler-79 b		14.68		1		0.00287		13.48		0.03		2.19		1100
Kepler-129 b		12.67		0		0.0028		15.79		0.02		2.36		1208
Kepler-132 b		12.49		0		0.00277		6.18		0.01		2.54		1456
CoRoT-9 b		14.55		1		0.00266		95.27		0.84		2.99		490
Kepler-444 f		9.67		0		0.0026		9.74		0.00		1.82		880
Kepler-154 e		15.11		1		0.00252		3.93		0.01		2.84		1507
Kepler-33 c		14.39		1		0.00247		13.18		0.03		2.28		1325
Kepler-105 c		13.59		0		0.00244		7.13		0.01		2.71		1348
Kepler-444 d		9.67		0		0.00244		6.19		0.00		1.33		1023
Kepler-106 c		13.68		0		0.00239		13.57		0.03		2.84		1027
Kepler-197 b		12.42		0		0.00232		5.60		0.00		2.28		1467
Kepler-104 c		13.12		0		0.00231		23.67		0.03		2.27		947
Kepler-79 d		14.55		1		0.00229		52.09		0.02		0.14		805
Kepler-33 b		14.39		1		0.00225		5.67		0.01		2.63		1755
Kepler-68 c		10.73		0		0.00203		9.61		0.02		4.00		1230
Kepler-127 c		12.07		0		0.00203		29.39		0.02		2.30		946
Kepler-136 c		12.51		0		0.00202		16.40		0.01		2.49		1158
Kepler-109 c		12.82		0		0.00194		21.22		0.02		2.32		1006
Kepler-444 e		9.67		0		0.00192		7.74		0.00		1.37		950
Kepler-37 d		10.45		0		0.00186		39.79		0.01		1.55		592
Kepler-154 d		15.11		1		0.00182		20.55		0.05		2.33		868
Kepler-126 c		10.93		0		0.00179		21.87		0.01		2.73		1066
K2-21 b		14.14		0		0.00174		9.32		0.01		2.73		657
Kepler-144 c		12.69		0		0.00163		10.10		0.01		2.70		1280
Kepler-381 c		11.08		0		0.00162		13.39		0.00		2.43		1330
Kepler-248 c		16.21		1		0.00156		16.24		0.05		2.37		766
Kepler-130 b		12.16		0		0.00151		8.46		0.00		2.28		1257
Kepler-102 d		12.58		0		0.00148		10.31		0.01		2.60		825
Kepler-197 c		12.42		0		0.00148		10.35		0.01		2.57		1195
Kepler-127 b		12.07		0		0.00145		14.44		0.01		2.75		1199
Kepler-338 c		12.88		0		0.00139		24.31		0.02		2.37		1104
Kepler-420 b		15.82		1		0.00135		86.65		1.45		3.75		545
K2-21 c		14.14		0		0.00129		15.50		0.01		2.53		555
Kepler-79 c		14.68		0		0.00128		27.40		0.02		1.43		869
Kepler-278 c		12.79		0		0.00127		51.08		0.04		2.30		945
Kepler-36 b		12.66		0		0.00126		13.84		0.01		3.03		1272
Kepler-33 e		14.39		0		0.00121		31.78		0.05		2.36		988
Kepler-132 d		12.49		0		0.00109		18.01		0.01		2.76		1019
Kepler-104 d		13.12		0		0.00107		51.76		0.04		2.30		730
Kepler-33 f		14.39		0		0.00106		41.03		0.07		2.37		907
Kepler-127 d		12.07		0		0.00102		48.63		0.02		2.30		800
Kepler-338 d		12.88		0		0.00102		44.43		0.03		2.27		903
Kepler-20 e		13.41		0		0.00101		6.10		0.00		2.03		1210
Kepler-135 c		12.82		0		0.00096		11.45		0.00		2.48		1251
Kepler-42 d		17.96		2		0.00095		1.87		0.00		1.40		592
Kepler-1115 b		11.90		0		0.000884		23.55		0.01		2.65		1475
Kepler-197 d		12.42		0		0.000839		15.68		0.01		2.55		1041
Kepler-431 b		12.85		0		0.000819		6.80		0.00		1.87		1342
Kepler-431 d		12.85		0		0.000816		11.92		0.00		2.44		1113
K2-3 c		13.52		0		0.000809		24.65		0.01		2.61		448
Kepler-462 b		11.95		0		0.000769		84.69		0.04		2.32		873
Kepler-106 b		13.68		0		0.000737		6.16		0.00		1.94		1336
Kepler-154 f		15.11		0		0.000734		9.92		0.01		2.84		1107
Kepler-126 d		10.93		0		0.00059		100.28		0.02		2.33		642
Kepler-37 c		10.45		0		0.000588		21.30		0.01		4.16		729
Kepler-106 e		13.68		0		0.000525		43.84		0.02		2.32		695
Kepler-103 c		12.68		0		0.000483		179.61		0.09		2.38		502
Kepler-431 c		12.85		0		0.000451		8.70		0.00		1.67		1236
Kepler-129 c		12.67		0		0.000359		82.20		0.02		2.32		697
Kepler-20 d		13.41		0		0.00034		77.61		0.02		2.32		518
Kepler-154 b		15.11		0		0.000309		33.04		0.02		2.39		727
Kepler-79 e		14.55		0		0.000301		81.07		0.01		1.20		694
Kepler-20 f		13.41		0		0.000299		19.58		0.00		2.30		820
K2-3 d		13.52		0		0.000288		44.56		0.01		2.75		367
Kepler-197 e		12.42		0		0.000248		25.21		0.00		2.10		888
Kepler-154 c		15.11		0		0.000226		62.30		0.03		2.28		589
Kepler-131 c		12.22		0		0.000225		25.52		0.05		5.49		801
Kepler-102 f		12.58		0		0.000223		27.45		0.00		2.11		595
Kepler-37 b		10.45		0		0.000183		13.37		0.01		5.83		852
Kepler-130 d		12.16		0		0.000173		87.52		0.01		2.69		577
