Name		Hmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
Kepler-087b		12.98		1		0.0		114.74		1.02		2.91		625
Kepler-080c		12.25		2		0.0		9.52		0.02		2.22		762
Kepler-080b		12.25		2		0.0		7.05		0.02		2.30		842
Kepler-068b		8.59		2		0.0		5.40		0.02		2.45		1491
Kepler-051d		13.20		0		0.0		130.18		0.02		-0.19		454
Kepler-051c		13.20		0		0.0		85.31		0.01		-0.67		523
Kepler-051b		13.20		1		0.0		45.16		0.01		-0.85		646
Kepler-046b		13.35		3		0.0		33.60		0.89		3.55		645
Kepler-039		12.92		10		0.0		21.09		19.10		6.00		1012
Kepler-036c		10.79		1		0.0		16.24		0.02		1.78		1207
Kepler-036b		10.79		0		0.0		13.84		0.01		2.99		1273
Kepler-022		10.15		0		0.0		289.86		0.02		2.52		340
Kepler-020d		10.87		0		0.0		77.61		0.03		2.63		523
Kepler-020c		10.87		1		0.0		10.85		0.04		2.64		1005
Kepler-020b		10.87		2		0.0		3.70		0.03		3.35		1438
Kepler-016		9.00		0		0.0		221.78		0.33		2.72		245
Kepler-010c		9.50		0		0.0		45.29		0.02		2.62		688
K2-111		9.38		1		0.0		5.35		0.03		3.19		1463
K2-110		9.61		1		0.0		13.86		0.05		3.24		759
K2-106c		10.34		1		0.0		13.34		0.02		2.34		939
K2-098		10.87		3		0.0		10.14		0.10		2.90		1309
K2-096c		7.07		0		0.0		29.84		0.03		2.40		660
K2-066		10.60		3		0.0		5.07		0.07		3.56		1784
K2-056		9.37		0		0.0		41.69		0.05		3.51		649
K2-038c		9.47		1		0.0		10.56		0.03		2.85		1115
K2-038b		9.47		1		0.0		4.02		0.04		3.95		1540
K2-032d		9.82		0		0.0		31.72		0.03		2.18		645
K2-027b		10.70		7		0.0		6.77		0.10		2.76		1094
K2-024c		9.18		1		0.0		42.36		0.08		1.47		729
K2-024b		9.18		2		0.0		20.89		0.06		1.83		923
K2-018b		8.90		0		0.0		32.94		0.03		2.75		336
HD_106315c		7.85		1		0.0		21.06		0.05		2.11		1039
HD_106315b		7.85		1		0.0		9.55		0.04		3.08		1352
HD_080606		7.32		1		0.0		111.44		4.11		4.66		482
HATS-17		10.70		7		0.0		16.25		1.34		4.05		968
EPIC_218916923		9.66		4		0.0		28.38		0.38		2.71		661
CoRoT-32		12.19		14		0.0		6.72		0.15		2.48		1142
CoRoT-24c		12.92		4		0.0		11.76		0.09		2.47		841
CoRoT-09		11.69		1		0.0		95.27		0.84		2.95		497
