Name		Vmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
HAT-P-15		12.16		26		0.1		10.86		1.95		3.78		1069
HAT-P-11		9.47		12		0.1		4.89		0.08		2.63		997
GJ_9827b		10.51		13		0.1		1.21		0.03		3.31		1383
GJ_1214		14.67		70		0.1		1.58		0.02		2.07		679
GJ_0436		10.68		30		0.1		2.64		0.08		2.74		753
EPIC_228735255		12.62		74		0.1		6.57		1.02		3.09		1325
EPIC_219388192		12.54		54		0.1		5.29		36.84		6.99		1385
CoRoT-26		15.76		125		0.1		4.21		0.52		2.14		1870
CoRoT-25		14.97		76		0.1		4.86		0.37		2.11		1572
CoRoT-23		15.63		131		0.1		3.63		3.06		4.04		2036
CoRoT-19		14.01		117		0.1		3.90		1.09		2.99		1938
CoRoT-17		15.46		95		0.1		3.77		2.46		4.14		1911
CoRoT-15		15.50		113		0.1		3.06		64.90		7.34		1985
CoRoT-14		16.03		313		0.1		1.51		7.67		5.26		2304
CoRoT-13		15.04		131		0.1		4.04		1.31		3.08		1704
CoRoT-12		15.52		256		0.1		2.83		0.89		2.54		1677
CoRoT-05		14.00		121		0.1		4.04		0.47		2.16		1604
CoRoT-03		13.29		70		0.1		4.26		21.96		6.27		1963
WASP-059		13.00		26		0.0		7.92		0.86		3.62		791
TRAPPIST-1h		18.80		0		0.0		18.77		0.00		0.48		202
TRAPPIST-1g		18.80		1		0.0		12.36		0.00		1.48		232
TRAPPIST-1f		18.80		1		0.0		9.21		0.00		1.17		256
TRAPPIST-1e		18.80		1		0.0		6.10		0.00		1.14		293
TRAPPIST-1d		18.80		2		0.0		4.05		0.00		1.66		336
TRAPPIST-1c		18.80		8		0.0		2.42		0.01		2.62		399
TRAPPIST-1b		18.80		16		0.0		1.51		0.00		1.86		467
OGLE-TR-182		16.84		174		0.0		3.98		1.06		2.54		1842
OGLE-TR-111		16.00		102		0.0		4.01		0.55		2.64		1213
LHS_6343		13.44		21		0.0		12.71		62.10		7.87		426
LHS_1140		14.15		0		0.0		24.74		0.02		3.50		262
KOI-205		14.76		14		0.0		11.72		40.80		7.36		909
Kepler-539		12.53		0		0.0		125.63		0.97		3.81		461
Kepler-434		14.65		21		0.0		12.88		2.86		4.06		1190
Kepler-432		12.44		3		0.0		50.50		5.41		4.67		1057
Kepler-427		14.31		39		0.0		10.29		0.29		1.60		1281
Kepler-420		14.88		1		0.0		86.65		1.45		3.75		545
Kepler-117c		14.48		3		0.0		50.79		1.84		3.67		844
Kepler-117b		14.48		5		0.0		18.80		0.09		1.55		1176
Kepler-101b		13.99		25		0.0		3.49		0.16		2.76		1865
Kepler-093b		9.93		1		0.0		4.73		0.01		2.93		1348
Kepler-089e		12.33		0		0.0		54.32		0.11		2.12		792
Kepler-089d		12.33		7		0.0		22.34		0.33		2.15		1065
Kepler-089c		12.33		3		0.0		10.42		0.05		2.15		1373
Kepler-089b		12.33		1		0.0		3.74		0.03		3.60		1932
Kepler-087c		14.78		0		0.0		191.23		0.02		0.55		527
Kepler-087b		14.78		1		0.0		114.74		1.02		2.91		625
Kepler-080c		15.18		2		0.0		9.52		0.02		2.22		762
Kepler-080b		15.18		2		0.0		7.05		0.02		2.30		842
Kepler-075		15.52		35		0.0		8.88		10.10		5.47		984
Kepler-074		14.56		32		0.0		7.34		0.63		2.88		1303
Kepler-068b		10.11		2		0.0		5.40		0.02		2.45		1491
Kepler-051d		14.83		0		0.0		130.18		0.02		-0.19		454
Kepler-051c		14.83		0		0.0		85.31		0.01		-0.67		523
Kepler-051b		14.83		1		0.0		45.16		0.01		-0.85		646
Kepler-046b		15.49		3		0.0		33.60		0.89		3.55		645
Kepler-039		14.33		10		0.0		21.09		19.10		6.00		1012
Kepler-036c		12.22		1		0.0		16.24		0.02		1.78		1207
Kepler-036b		12.22		0		0.0		13.84		0.01		2.99		1273
Kepler-022		11.81		0		0.0		289.86		0.02		2.52		340
Kepler-021		8.25		2		0.0		2.79		0.02		2.97		2409
Kepler-020d		12.65		0		0.0		77.61		0.03		2.63		523
Kepler-020c		12.65		1		0.0		10.85		0.04		2.64		1005
Kepler-020b		12.65		2		0.0		3.70		0.03		3.35		1438
Kepler-016		12.23		0		0.0		221.78		0.33		2.72		245
Kepler-010c		11.10		0		0.0		45.29		0.02		2.62		688
Kepler-004		12.09		14		0.0		3.21		0.07		2.66		1929
K2-111		11.14		1		0.0		5.35		0.03		3.19		1463
K2-110		11.91		1		0.0		13.86		0.05		3.24		759
K2-108		12.47		14		0.0		4.73		0.19		3.08		1735
K2-106c		12.10		1		0.0		13.34		0.02		2.34		939
K2-098		12.17		3		0.0		10.14		0.10		2.90		1309
K2-096c		8.94		0		0.0		29.84		0.03		2.40		660
K2-066		11.71		3		0.0		5.07		0.07		3.56		1784
K2-056		11.04		0		0.0		41.69		0.05		3.51		649
K2-038c		11.39		1		0.0		10.56		0.03		2.85		1115
K2-038b		11.39		1		0.0		4.02		0.04		3.95		1540
K2-032d		12.31		0		0.0		31.72		0.03		2.18		645
K2-032b		12.31		7		0.0		8.99		0.05		1.86		981
K2-027b		12.64		7		0.0		6.77		0.10		2.76		1094
K2-024c		11.28		1		0.0		42.36		0.08		1.47		729
K2-024b		11.28		2		0.0		20.89		0.06		1.83		923
K2-018b		13.50		0		0.0		32.94		0.03		2.75		336
HD_219134c		5.57		0		0.0		6.76		0.01		2.97		930
HD_106315c		8.95		1		0.0		21.06		0.05		2.11		1039
